,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
0,Bilingual Senior Data Scientist,44,"Position Summary
The Senior Data Scientist will serve as a technical reference for the Core Data Science team in delivering analytically driven research projects for the Group. The candidate will be able to demonstrate a proven track record in identifying and leading data science projects while delivering compelling business insights using cutting edge data science methods. The candidate will be instrumental to shaping Air Liquide R&D data science perspectives on major business issues.
Your challenge at Air Liquide:
Provide technical expertise to the team of data scientists and support end-to-end rigorous and creative analytics research process.",5,"Air Liquide
3.8",Montreal
1,Bilingual Senior Data Scientist,44,"Position Summary
The Senior Data Scientist will serve as a technical reference for the Core Data Science team in delivering analytically driven research projects for the Group. The candidate will be able to demonstrate a proven track record in identifying and leading data science projects while delivering compelling business insights using cutting edge data science methods. The candidate will be instrumental to shaping Air Liquide R&D data science perspectives on major business issues.
Your challenge at Air Liquide:
Provide technical expertise to the team of data scientists and support end-to-end rigorous and creative analytics research process.",5,"Air Liquide
3.8",Montreal
2,Data Engineer,44,"LIFE AT BRP

We create innovative ways to move – on snow, water, asphalt. In the air, on the ground and everywhere in between.

Built on a 75-year tradition of ingenuity and intensive customer focus, BRP is headquartered in the Canadian town of Valcourt, Quebec and operates manufacturing facilities in Canada, the United States, Mexico, Finland, and Austria. We have a total workforce of more than 12,600 driven, resourceful people.

Our portfolio of industry-leading and distinctive products includes Ski-Doo and Lynx snowmobiles, Sea-Doo watercraft, Can-Am on- and off-road vehicles, Alumacraft, Manitou, Quintrex, Stacer and Savage boats, Evinrude and Rotax marine propulsion systems as well as Rotax engines for karts, motorcycles and recreational aircraft. We support our lines of product with a dedicated parts, accessories and clothing business to fully enhance your riding experience.

Because it’s not about the destination. It’s about the journey. Yours.

We are passionate and qualified; by joining BRP, you will evolve within an experienced team that will welcome you with open arms.

www.brp.com.

JOB DESCRIPTION

BRP is looking for a Data Engineer to join our team and bring the analytics practice to the next level. We are looking for a motivated person who thrives in a dynamic and challenging environment, who loves working with tools on the edge, who has no problem switching between multiple programming languages, and who is able to find out-of-the-box solutions to solve complex problems. In this role, you will be at the heart of the definition and implementation of world-class analytics solutions, and you will contribute to set data as a strategic advantage for BRP.

YOUR KEY RESPONSABILITIES

Design, develop, implement and support robust ETL/ELT/Data Pipelining solutions

Coordinate with multiple development teams to achieve delivery objectives

Provide support in requirements definition, estimation, development and delivery of robust and scalable solutions

Development and support of real-time data ingestion processes from various data sources

Development and support of data models optimized for business intelligence usage

Build integrations with APIs from external providers such as Google,

Adhering to industry standards and laws such as GDPR and SOX

Be a leader in best-practices definition and creative thinking

YOUR QUALIFICATIONS AND SKILLS

Master Degree in Business Intelligence or equivalent


Talend et/ou Azure Data Factory

Snowflake

Microsoft SQL Server

Microsoft Analysis Services

Power BI


T-SQL

Python

Javascript / Node.js

Java

Understands and puts into practice data modeling, design and development of solid ETL/ELT data pipelines

Fluent in writing, executing and optimizing complex SQL queries

Experience in translating business requirements into advanced data models able to fulfil analysts and data scientists requirements

Experience in data profiling

Experience in working within an agile team to build big data / analytics solutions

Strong interpersonal relations, motivated and loves to work on multiple challenging projects

Strong communication skills, both speaking or writing

Experience in using cloud BI technologies such as Azure or similar

Fluent in french and english

Open-minded and able to adapt to new ways of working (data vault, event-driven architecture, unstructured data, self-service analytics, etc..)

Well organized and able to self-prioritize, sometimes with conflictual deadlines

Strong communication skills, both speaking or writing, in both french and english

Continuously seeks for improvements and craves to put hands on new technologies

#IND_CAN",5,"BRP
4.0",Montreal
3,Data Scientist,44,"Driven by the mission to democratize education, Paper is the leader in personalized learning. Partnering with innovative schools and school districts, Paper helps deliver true educational equity through their category leading Educational Support System (ESS) that offers virtual access to 24/7 tutors and essay reviewers. Founded in 2014, Paper philosophically believes that all students should be given the tools and resources to reach their academic potential, independent of socio-economic status, geography, language or other barriers. Today, Paper is partnered with over 700 schools and supports over 750,000 students. We are headquartered in Montreal, Quebec with remote employees across the US and Canada. Paper is proud to have been named by GSV as one of the most transformational growth companies in digital learning .
Paper is looking for a Data Scientist to join the growing R&D and analytics team. The Data Scientist will be responsible for performing research in natural language processing, machine learning, information retrieval, time series forecasting and optimization. The data scientist will be responsible for brainstorming and implementing algorithms to solve technical problems and is expected to adopt a scientific approach when conducting R&D experiments. They will spend a significant amount of time planning, documenting and evaluating the results of their experiments, working closely with our research scientist. They must be self-directed and comfortable conducting applied research in collaboration with a wide range of stakeholders and functional teams. The ideal candidate will have a strong background in mathematics/statistics/computer science or a related field.

Responsibilities

Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.

Mine and analyze data from the company databases to drive optimization and improvement of product development and business strategies.

Assess the effectiveness and accuracy of new data sources and data collection techniques.

Develop custom data models and algorithms.

Use predictive modeling to improve service delivery, customer experience, and other business outcomes.

Develop company A/B testing framework and test model quality.

Coordinate with different functional teams to implement models and monitor outcomes.

Develop processes and tools to monitor and analyze model performance and data accuracy.

Requirements

5-7 years of experience manipulating data sets and building statistical models, with a Master's or PHD in Statistics, Mathematics, Computer Science or another quantitative field.

Strong problem solving skills with an emphasis on product development.

Experience using statistical computer languages (Python, R, Matlab, SLQ, etc.) to manipulate data and draw insights from large data sets.

Experience working with and creating data architectures.

Experience visualizing/presenting data for business stakeholders

Knowledge of a variety of machine learning techniques (supervised and unsupervised, clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.

Experience creating and applying advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.

Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.

Excellent written and verbal communication skills for coordinating across teams.

A drive to learn and master new technologies and techniques.

Experience using cloud services is a plus

Experience analyzing data from 3rd party providers, e.g. Google Analytics, is a plus

Experience using graph learning is a plus

Experience putting Machine Learning models into production is a plus

Position can be located in any geography in the US or Canada.

#hannahatpaper
About Paper

A great place to work! Paper offers a fast-paced, dynamic, inclusive work environment where all employees have an impact. You will be challenged to achieve, develop, and grow as part of a hyper-growth company.

The diverse experiences, ideas, and identities of PAPER's team members help us make better decisions and drive great results. We foster an inclusive work environment that welcomes team members of all backgrounds and perspectives. We are committed to providing a meaningful environment for every member of our team. We hire exceptional people and reward them with trust, autonomy, mentorship, and growth.

We are naturally curious and have strong attention to detail. We love working in a team environment where trust is key and we all strive to make an impact every day. If this sounds like the right fit, please apply and come work with us.",5,Paper,Quebec
4,Data Engineer,44,"It's fun to work in a company where people truly BELIEVE in what they're doing !
Job Description
Data Engineer
The Analytics & Insights Team at AIR MILES® is looking for a Data Engineer to join our team.
The A&I Team is a group of 100+ individuals working across different disciplines within Data & Marketing Analytics, Data Engineering, Data Science, Data Products, and Market Research. We work collaboratively with our internal stakeholders and our external business partners across industries such as Grocery, Banking and Retail to design, develop and execute loyalty marketing analytics solutions using one of Canada’s largest transactional databases and best-in-class technologies. Come join us on our journey to becoming Canada’s most recognized loyalty program.
Information Systems
Regular",5,"AIR MILES
3.4",Midtown Toronto
5,Senior Quantitative Analyst,44,"With over 172,9 billion in assets under management as of March 31 2021, Fiera Capital, an independent firm, is one of Canada’s leading investment managers. We deliver customized multi-asset solutions across public and private market asset classes to institutional, financial intermediary and private wealth clients across North America, Europe and key markets in Asia. We strive to be at the forefront of investment-management science, and we are passionate about creating sustainable wealth for clients. Fiera Capital is recognized for our talented people. Our teams collaborate and seek to draw on the global industry’s most innovative and diverse offerings to craft strategies that meet the needs of any client, anywhere they are located.

Why join Fiera Capital:

Inclusive workplace and diverse background of employees
Growth and development opportunities

:",5,"Fiera Capital
3.8",Montreal
6,Data Analyst L3,44,"Career Opportunity

Libro is growing – and Libro is hiring.
Our expansion plans include a series of new hires across southwestern Ontario. Take a look!
Job Opportunities With Libro Credit Union

Who We Are

Imagine working for an organization where every employee and customer is an Owner.

No matter whether a customer Owner or employee Owner, everything we do at Libro is about helping people prosper. We recruit and develop experts like you; Epic Humans who are ready to offer the best possible advice, coaching and service, when and how our Owners need it.

Libro is a progressive employer who invests heavily in the development and career ambitions of our staff. Our hiring philosophy is focused finding candidates who carry a positive attitude, a desire to learn, and a passion for helping our Owners grow financial confidence. We commit to teaching and supporting you as you learn the skills you need.

This position is eligible for flexible work arrangements including a combination of remote and in-office work, and/or flex time, with office locations in London and Essex.

What Opportunity Awaits?

Libro is on the quest for a passionately accountable Data Analyst - Level 3 to lead research and analytic activities to solve a wide range of business problem. They will retrieve and gather vast amounts of data, organize it and use it to reach meaningful conclusions. They will exercise their knowledge of statistical techniques, analytics skills and database analysis tools and techniques to develop strategic insights to drive business goals. Data Analyst are more excited about what they can learn with data, than they are about what is already known.- Could this be you?

What you will do - The Epic Human we are looking for will;

Create datasets for reporting in high-level analytics, including but not limited to data cubes for modeling trends, business reviews and/or analytics.

Contribute to enhancing the validity, reliability and accuracy of data and information utilized in support of business initiatives.

Be comfortable with data analysis, mining, modelling, cleansing, migration and mapping.

Be comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources

Be a recognized expert with one or more reporting/ visualization tool-Tableau, Power BI, power pivot/map

Understand OLAP database technology and data modeling. Techniques with MDX, DAX would be an asset

Bring strong passion for empirical research and for answering hard questions with data.

Have the ability to communicate complex quantitative analysis in a clear, precise, and actionable manner.

Have strong technical documentation skills.

What we are looking for? Could this be you ?

Minimum 5-7 years’ experience in systems analysis and programming with extensive business knowledge.

Have a graduate or post graduate university degree in Computer Science, mathematics or statistics.

Have advanced skills with MS SQL Server Management Studio including stored procedures, views, functions, and ad hoc database queries for reporting purposes

Have experience developing with and supporting Integration Services (SSIS), Analysis Services (SSAS), ETL processes, SQL Agent jobs and related tools.

Be experienced with Visual Studio.NET and VB.NET

Strong expertise in analysis techniques and coding (R, Python, etc) would be an asset.


Competitive salaries and employee pension plans

Comprehensive benefit package including health, dental, and vision

Generous vacation time

Employee wellness programs

Staff accounts and staff rates on products and services

Staff appreciation programs and awards

Career development opportunities including tuition assistance

Many great perks and rewards; fitness club discounts, technology offers, travel and entertainment deals, just for being part of our great team!

Are you ready to Be Libro ?
If you're passionate about helping your community, interested in being part of a remarkable team, and want to help grow prosperity in Southwestern Ontario - we want to hear from you!

With a purpose beyond profit, Libro Credit Union is proud to be a Certified B Corporation, joining leaders of a global movement of people using business as a force for good. Serving families, farms, and enterprises in southwestern Ontario, Libro offers an inclusive, forward thinking approach to banking – all centered on growing prosperity. Libro pursues its purpose through four key pillars – employment, financial resilience, local food accessibility, and housing. Libro is also a proud Associate Member of the Responsible Investment Association of Canada.

Libro is committed to fostering a safe, healthy and inclusive work environment that inspires respect. Following the advice of Canadian health authorities to mitigate the risk of potential spread of COVID-19 and support social distancing, all recruiting activities including interviews will be conducted virtually.

Libro will provide accommodations to employees with disabilities, upon request.

#SJ",5,"Libro Credit Union
4.0",Essex
7,"Data Engineer, Data Science",44,"Numerator is a data and tech company bringing speed and scale to market research. Headquartered in Chicago, IL, Numerator has more than 2,000 employees worldwide. The company blends proprietary data with advanced technology to create unique insights for the market research industry that has been slow to change. The majority of Fortune 100 companies are Numerator clients.
Job Description
Numerator is looking for a Data Engineer, Data Science to help us drive decision-making, find bigger opportunities and work with our established and rapidly evolving platforms. In this position, you will be responsible for taking on new initiatives to automate, enhance, maintain, and scale services in a rapidly-scaling environment.
As a Data Engineer, Data Science at Numerator, you will help our team deliver data products, analytics, and models quickly and independently. The role is cross-functional by nature and is responsible for developing resilient data pipelines and infrastructure for evaluating and deploying data science models.",5,"Numerator
4.1",Remote
8,Ingénieur de données (Nouveau gradué) /Data Engineer (New Grad),44,"(An English message to follow)
Ingénieur de données Junior (Nouveau gradué)
Vous avez envie de participer aux plus grands projets de transformation numérique avec des passionnés d’innovation ? Vous souhaitez participer à la réalisation de grands changements d’importance et à des projets qui changent des vies ? Avec LGS, les possibilités sont infinies. Nous sommes une entreprise locale, d’envergure internationale, propulsée par la puissance du capital intellectuel d’IBM.
Votre développement professionnel et votre bien-être nous tiennent à cœur et les possibilités de carrière sont multiples. Mentorat, formations illimitées et esprit qu’équipe font partie de notre ADN.",5,LGS IBM Centre d'innovation client Québec,Montreal
9,in vitro DMPK Associate Scientist or Scientist,44,"Paraza Pharma Inc. is an innovative company with an aim to significantly improve the efficiency of the drug discovery process from lead identification through lead optimization to development candidates.
With an excellent team of highly creative drug discovery scientists trained in world-reputed laboratories and deep experience in drug discovery and development from pharmaceutical companies such as Merck, Pfizer, Wyeth, Boehringer-Ingelheim, AstraZeneca and Schering-Plough, we offer collaborative opportunities to provide most efficient solutions.
We are currently seeking for an in vitro DMPK Associate Scientist or Scientist for a full time job position.
JOB DESCRIPTION",5,"Paraza Pharma, Inc.
4.7",Saint-Laurent
