,Job Title,Job Description,Company Name,Location
0,Machine Learning Engineer / Data Scientist,"CATCHY INTRO
Honestly, we’ve been brainstorming this “catchy intro” for about 20 minutes and everything that we throw at the wall is either too serious, or just downright lame, with no authenticity behind it. Which is absolutely hilarious, considering everyday TerraSense strives for authenticity. So that’s it. That’s what you get. Our not-so-super-catchy, not-super-lame, but not-super-corporate intro. Authentic. Hey, come work here and help us on this journey.
*
WHY WORK WITH US?*
Our two main products target the Utilities and Defense sectors. Besides understanding how to use machine learning to predict maintenance for transmission lines, or how to take the metadata from two sensors and fuse them together, we actually do appreciate the soft skills too. We strive to foster a culture of success, innovation, respect, and did we mention authenticity? That’s right, if you hate what the CTO is saying, we fully expect you to step up and tell him he’s wrong (or that you disagree). The Product Manager does all the time and she still hasn’t been fired.",TerraSense Analytics Ltd,Kelowna
1,Machine Learning Engineer / Data Scientist,"CATCHY INTRO
Honestly, we’ve been brainstorming this “catchy intro” for about 20 minutes and everything that we throw at the wall is either too serious, or just downright lame, with no authenticity behind it. Which is absolutely hilarious, considering everyday TerraSense strives for authenticity. So that’s it. That’s what you get. Our not-so-super-catchy, not-super-lame, but not-super-corporate intro. Authentic. Hey, come work here and help us on this journey.
*
WHY WORK WITH US?*
Our two main products target the Utilities and Defense sectors. Besides understanding how to use machine learning to predict maintenance for transmission lines, or how to take the metadata from two sensors and fuse them together, we actually do appreciate the soft skills too. We strive to foster a culture of success, innovation, respect, and did we mention authenticity? That’s right, if you hate what the CTO is saying, we fully expect you to step up and tell him he’s wrong (or that you disagree). The Product Manager does all the time and she still hasn’t been fired.",TerraSense Analytics Ltd,Kelowna
2,Data Scientist,"The Company You’ll Join
At Carta we create owners and make private markets liquid.
We live in a world where some people live on the equity stack and enjoy exponential wealth growth and preferential tax treatment; others live on the debt stack and may work their entire lives for a company and retire only with the cash they’ve managed to save from their paychecks. Our contribution to solving the wealth inequality problem is moving people from the debt stack (payroll) to the equity stack. By making it as easy to issue equity to employees as it is to put them on payroll, we can create more owners.
At Carta, we are helpful, transparent, fair, and kind. We are relentless executors, unconventional thinkers, and masters of our craft.","Carta
3.9",Waterloo
3,Data Scientist,"Summatti is on a mission – to rid the world of annoying feedback surveys and terrible customer service experiences. Our AI powered platform analyzes calls/chat/emails in real-time and is helping businesses improve their customers’ experience with every interaction! Based out of Waterloo, ON, we are a uniquely Canadian start-up founded by professionals who have years of industry experience, and a board of investors who have a proven track record of success.
We are looking for a Data Scientist on our team who can help us scale our operations to the next level. You will be working with a fantastic team of highly skilled engineers to plan, build and grow our product to new use cases. The opportunity is specifically for those who enjoy taking on a challenge of building new systems/processes and grow with the company to take on a leadership position.
Who are we looking for?",Summatti,Waterloo
4,Data Scientist - 05/12/21,"Acerta’s machine learning platforms leverage automotive assembly and vehicle data to detect the earliest indicators of future product failures. We help automakers optimize quality, safety, and reliability throughout the entire product life cycle, from the assembly line to the finish line.

As an integral part of the data science team at Acerta, you will productize, deploy, maintain, and monitor machine learning models running behind Acerta’s LinePulse and AutoPulse products. Our LinePulse SaaS platform enables automakers to identify anomalies in production data for enhanced testing, accelerated root cause analysis, and improved manufacturing output. Acerta’s AutoPulse SaaS platform enables predictive maintenance of connected and autonomous vehicles based on production, maintenance, and on-road data.","Acerta Analytics Solutions Inc
4.1",Kitchener
5,Data Scientist - Innovation & Attributes,"Synopsis of the role

As a Data scientist, in this role, you will work closely with business stakeholders to understand their goals and determine how data can be used to achieve those goals. You will be tasked with designing data modeling processes, create algorithms and predictive models to extract the data the business needs, help analyze the data and share insights with peers.

Who is Equifax?

At Equifax, we believe knowledge drives progress. As a global data, analytics and technology company, we play an essential role in the global economy by helping employers, employees, financial institutions and government agencies make critical decisions with greater confidence.






CAN-Toronto-5700 Yonge
Function - Data and Analytics
Full time","Equifax
3.6",Midtown Toronto
6,"Data Scientist, Fall 2021 Student Opportunities (8 Months Only)","What is the opportunity?
Who wouldn't want to be a part of a fantastic team of Data Scientists? At RBC, our Data Science teams offer the opportunity to leverage RBC’s data assets to develop innovative solutions in support of RBCs big data strategy. This position is an essential part to the bank as you develop next-generation applications to meet our customers’ needs. By joining the RBC team as a Data Scientist, you will have the opportunity to analyze, design and implement data solutions to assist all business customers.

Please only apply if you are available for 8 months.

What will you do?","RBC
4.1",Ontario
7,Data Scientist,"Description & Requirements
Description
Data science is a crucial part of UKG. Our team builds statistical and machine learning models that support product features across the company, with the goal of empowering thousands of organizations and millions of employees to thrive. We tackle problems in the fields of machine learning, natural language processing, document processing, sociology, and statistics... and we're just getting started. We’re looking for data scientists to join the team and help us grow. This position requires a strong mathematical foundation, an analytical mindset, and an ability to work cross-functionally to bring a product feature from concept through to release. We work in small teams with daily stand-ups, regular releases, and a culture of ownership.

As part of the data science team, you will collaborate to:","UKG (Ultimate Kronos Group)
4.1",Remote
8,"Data Scientist, Machine Learning","The Company You'll Join

At Carta we create owners and make private markets liquid.

We live in a world where some people live on the equity stack and enjoy exponential wealth growth and preferential tax treatment; others live on the debt stack and may work their entire lives for a company and retire only with the cash they've managed to save from their paychecks. Our contribution to solving the wealth inequality problem is moving people from the debt stack (payroll) to the equity stack. By making it as easy to issue equity to employees as it is to put them on payroll, we can create more owners.

At Carta, we are helpful, transparent, fair, and kind. We are relentless executors, unconventional thinkers, and masters of our craft.

To learn more, here is what one of our investors wrote about leading our Series F.
The Team You'll Work With

Our mission is to enable data-driven decisions and products across Carta by collecting accurate data, building scalable infrastructure and delivering advanced analytics. This is a foundational role in Carta's fast-growing Data Organization, working on one of the world's most valuable data sets at one of the fastest-growing FinTech companies of all time. The team consists of experts in product analytics, machine learning and data engineering. We partner with each other and Cartan's across the company to solve impactful problems. Our team strongly believes that being helpful accelerates results and we support one another to be successful at Carta.
The Problems You'll Solve

As a Data Scientist, ML at Carta, you'll partner with domain experts across the company to analyze and explore Carta's proprietary data set. You will build statistical models that power new products and accelerate Carta's business. Examples of responsibilities will include:

Perform exploratory analyses to understand the dynamics of private markets and ownership
Develop machine learning models to power new financial products and to extract trends from performance of existing products
Automate monitoring of data distributions to detect and flag anomalies
Partner with product managers, engineers, and business teams to incorporate data-driven insights into decision-making
Own, coordinate, and solve complex, cross-functional problems that extend beyond the traditional boundaries of product, analytics, and data science

The Impact You'll Have

You will own significant projects directly aligning with Carta's company-wide initiatives of data products and data quality. Your work will empower leaders across the company to make good product decisions and optimize operational efficiency. Additionally, you will have the opportunity to set best practices for integrating our ML models into production helping Carta's current and future data scientists.
About You

Candidates must have a strong foundation in statistics, be proficient in SQL and Python, and have an analytical mindset. You have a strong bias towards simplicity, are excited by ""zero to one"" projects, and can efficiently communicate findings to leadership. Example traits that we value:

2+ years of industry experience solving complex data problems with descriptive and predictive models
Proficiency with modern programming languages (Python, R, SQL, etc.) and datastores (Redshift or similar)
A deep understanding of modern statistical and machine learning models, when to apply them, and how to evaluate their performance
Strong written and verbal communication skills, with a particular emphasis on data visualization
A collaborative attitude and a helpful personality","Carta
3.9",Waterloo
9,Data Scientist,"Spare is looking for a Data Scientist to join the growing Data Science team!
If you love numbers, and you love making a change, this could well be the job for you.
Think of the Data Science team as a ‘startup within a startup’: it questions assumptions, explores alternative solutions, and keeps Spare on the cutting edge.
You’ll be working with a talented and motivated team that puts mobility data to good use, making a positive impact on lives across the globe.
*
Location: this person can be based anywhere on the east side of Canada*
*
✨What you’ll do* ✨","Spare Labs
4.9",Midtown Toronto
