,Job Title,Salary Estimate,Job Description,Review,Company Name,Location
0,Data Analyst,None,"A Little About Us
Making fans - That's what we're all about! Since our humble beginnings in 2011, these two words have driven Big Viking Games to become the successful company it is today. We are focused on making our mark as a next-generation, live operations games company.
We believe that each Viking is unique and brings exponential value to the company. In return, we provide Vikings with the opportunity to solve problems through continuous learning and fostering feedback, ultimately mastering their craft. By investing in our Vikings and in new technologies, we can continue our success for years to come.
We are at the beginning of a new adventure and rely on our team of skilled, enthusiastic, and collaborative Vikings to turn our ship towards a new horizon. With that in mind, we are on the hunt for exceptional talent to join us on this new journey and help hoist the sails!
The Nitty Gritty
Big Viking Games is seeking a Data Analyst to join the team! Working under our Product umbrella, you will augment the analytics capacity of the team to provide analysis on our players, games, and the business at large. The analyst will mainly function as part of the Product team, but you will also frequently interact with other business stakeholders, such as Marketing and Finance to deliver reports.
The Duties:
Design, draft, and produce reporting and analysis based on specific business requirements for stakeholders using data from our custom analytics environments, web analytics tools, research surveys, and financial databases
Create queries and dashboards (SQL queries and etc.) using our internal tools
Work with product teams to provide analytical support for game design, development, testing, and operations, including player journey and engagement, retention, and marketing
Deliver analytics and data science tasks/initiatives that are aligned with the roadmap, and product goals – uncover actionable insights to substantially improve core game metrics
Help create and maintain a digital goods inventory management system
Work with the data team on pipeline requirements to improve centralization, automation, and reporting
Create requirements for products to improve their data collection and transmission creating more consistency and accuracy in reporting
Make quantitatively informed, evidence based decisions through maintaining source of truth data sources and dashboards
Support marketing and financial analysis including funnel analysis, media campaign performance, and KPI forecasting
Quality Assurance of charts, reports, and metrics generated by the data pipeline and other reporting tools
Other areas of data-driven reporting, analysis and investigations as required
Constantly monitor and validate the accuracy of the data provided, and suggest improvements in our reporting
The Requirements:
The Must Haves
2-3 yrs experience in quantitative and qualitative research (preferably in the Gaming space)
Bachelor's degree in Statistics, Mathematics, Economics, Analytics, or similar
Proficiency in SQL and other query languages
Proficiency in Python or R or other statistics tools
Experience with data visualization and reporting design tools (eg. Tableau, QlikView)
Solid writing and presentation skills to effectively and concisely convey analysis and technical information
High integrity and ability to work with confidential information
Ability to perform in a cross functional role effectively, working on different analysis for each respective team simultaneously
The Nice to Haves
Experience with ETL tools
Experience with inventory management
Experience from the Gaming industry
The Loot:
Health, Dental, Vision Benefits
A generous amount of Paid Time Off (Vacation, Personal Days, Sick Days, Family Leave)
Competitive Salaries
Professional Growth - Two performance reviews a year
Health & Wellness Benefits (Employee Assistance Program, Monthly Spending Account, Wellness Initiatives)
Vikoins (Peer Recognition Program & Rewards)
Stock Options
Group RRSP
Frequent remote events/meetings to stay connected with your peers and share company updates
100% Remote Work Environment
Becoming a Viking:
Are you cut from our cloth? Does the idea of working for a gaming company and doing what you love every day get you so excited that you kind of want to scream? Great! Send us your resume!
Big Viking Games is committed to providing accommodations for people with disabilities. If you require an accommodation, we will work with you to meet your needs. Accommodation may be provided in all parts of the hiring process.
Job Type: Full-time",3.3,Big Viking Games,"Toronto, ON"
1,Data & Applied Scientist 2,None,"Are you passionate about building best image search and recommendation experience on the web and deliver the most relevant and enjoyable image content to billions of internet users? Do you want to work with a group of talented data and applied scientists and distributed system engineers to grow your experience/career in a wide range of areas including computer vision, natural language processing, machine learning, deep learning, big data mining, and information retrieval etc? If so, this data and applied scientist position on Bing image index quality team may be a great fit for you!

The Bing image index quality team owns the index behind Bing image search and recommendation experience, which consists of hundreds of billions of images and pages. We leverage advanced technology in machine learning and big data processing to ensure the comprehensives, richness, cleanness and freshness of the index, to empower scenarios such as search and recommendation. It is more than just finding images on the internet – it’s about training sophisticated machine learning models to drive discovery, selection, and ranking of images, using deep learnings to understand the pages and images, taking advantage of big data and signals from millions of people across the web. Machine learning, deep learning, natural language processing, computer vision, big data mining and information retrieval - it’s all part of the job. You will not only train the model, but also build the data pipelines from end to end, including data collection and analysis, model training and deployment, and building the data pipelines. It is a cross area of system engineering and AI.

The Bing image index quality team is looking for a talented data and applied scientist to help us deliver our next generation of image index. Qualified applicants should have a strong machine learning background, excellent coding skills, and a MS or higher degree in computer science or a related field. We are looking for a self-motivated and passionate individual who is interested in applying machine learning, deep learning, natural language processing, computer vision and data mining to help us build the best image index on the web and make an impact on millions of users. You should have strong technical skills and be able to apply research concepts in new and innovative ways.
This is a fun and fast paced environment, where developers are empowered to innovate. This is a great opportunity to work on something highly strategic to Microsoft, and an opportunity to directly impact millions of users in an exciting area.
Responsibilities
As data and applied scientist, you will have wide range of responsibilities and opportunities to learn and make impact, which includes but not limited to

Analyze the problem through all data available to you including large scale crawled data and user engagement data etc.
Define problem and metrics to address various problems include comprehensiveness, richness, freshness, cleanness of the index, as well as topic authority and relevance in search and recommendation scenarios.
Define engineer life cycle and drive project forwards through iterative releases
Deliver results through drive the projects end to end, not limited to model training, but also including building data pipelines and integrating with engineering systems.
Collaborate with other data & applied scientist as well as distributed system engineer and program manager
Proactively seeks mentorship from others
Qualifications
Required Qualifications:

Master’s degree in Computer Science, Engineering, Applied Mathematics, or related field
2+ years of experience with general purpose programming language (C/C++/C#/Java/Python etc.)
2+ years of experience in the areas of machine learning, deep learning, information retrieval, natural language processing or data mining
Good communication skills and ability to work in collaborative environment
Good design and problem-solving skills and an ability to innovate and solve challenging technical problems
Passion and self-motivated
Embrace engineering excellence and delivering quality results at scale, end-to-end, including date collection and analysis, model training and deployment, and building data pipelines.

Preferred Qualifications:
Ph.D. preferred
Strong machine learning / computer vision / natural language processing experience and results in academy or industry. Publications in major ML/IR/NLP/CV conferences. Examples: ICML, NIPS, SIGIR, ACL, EMNLP, CVPR, KDD
Experience in open source (spark, hbase, hadoop etc) or microsoft internal tech (cosmos, autopilot, azure) are big plus as most of our project/scenario is across system and AI areas

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.2,Microsoft,"Vancouver, BC"
2,"Optimization Specialist, Analytics",None,"Company Description

Torstar Corporation is a broadly-based media company. Its businesses include the Toronto Star, Canada’s largest daily newspaper, six regional daily newspapers in Ontario including The Hamilton Spectator, and more than 70 weekly community newspapers in Ontario; flyer distribution services; and digital properties including thestar.com (with local editions in Toronto, Vancouver, Calgary, Edmonton, Winnipeg, Ottawa and Halifax), wheels.ca, toronto.com, save.ca, and a number of local and regional news sites. Torstar also holds a majority interest in VerticalScope, a North American vertically-focused digital media company.
The Toronto Star is Canada’s largest daily newspaper and is read in print and across desktop, mobile and tablet platforms by more than 6 million readers every week. Online, thestar.com is one of the most-visited newspaper websites in Canada.
What do we do?
We are a customer-centric team that builds Torstar’s digital experiences across the web and app ecosystem. We do this with passion and care greatly about supporting Torstar's aim as a news organization which is to engage in the full and frank dissemination of news and opinion and to do so working within the highest standards of journalistic integrity.
Where are we?
We are all over the world, but this gig is located at our downtown Toronto office in Canada. Currently, the Digital team is working remotely.

Job Description

How do you fit in?
Help us measure and share information about our digital products. We are looking for a talented, budding, Analytics Specialist to join our Digital Product team.
What will you do?
Manage site settings and monitor data within analytics tools such as Adobe Analytics, Parse.ly, Google Tag Manager and Google Analytics;
Ensure integrity of harvested data, and dashboards;
Ensure multiple analytic suites have consistent operational principles;
Ensure solid business goals from requesters: fulfill requests that require deeper analytics application knowledge and/or data research;
Build dashboards that illustrate product KPIs;
Train and maintain required product team knowledge for analytics participation;
Maintain dashboards and analytic data;
Provide clear and timely stories that give developers appropriate instructions on how to implement tagging, or data storage in order to enable tagging;
Support UAT process and ensure that dev solutions meet business requirements;
Assist additional business units with reporting requirements and delivery (dashboards or post-development);
Enable organization to understand and make use of analytics concepts, platforms and dashboards;
Keep all Torstar properties in sync in terms of technologies and implementation standards.

Qualifications

What do you need to have?
Excellent communication skills
Analytical and problem solving mindset
Ability to tell stories through presented data
Web analytics and/or data science experience
Attention to detail
Nice to have:
Previous experience in media
Development or QA experience

Additional Information

What are the perks?
Conveniently located in downtown Toronto (1 Yonge Street)
Friday office socials (now all virtually)
Free digital subscription to thestar.com while you work with us
Team events
The opportunity to be part of an exciting company grounded in history while striving to be at the cutting edge of the digital media industry; you'll never get bored in our fast-paced, constantly evolving and challenging environment.
And let’s not forget the AWESOME PEOPLE!
We are committed to providing an inclusive and barrier free recruitment process to applicants with accessibility needs in accordance with the Ontario Human Rights Code and the Accessibility for Ontarians with Disabilities Act (AODA). If you require an accommodation during this process, please inform us of your requirements.",3.7,Torstar,"Toronto, ON"
3,Automotive Computer Vision Researcher,None,"Algolux is an industry-leading software provider with technology at the intersection of AI, computer vision, and computational imaging. Our award-winning products address mission-critical applications for the Advanced Driver Assistance Systems (ADAS), Autonomous Vehicle (AV), Smart City, and video security markets.
As a researcher at Algolux, you have the expertise and the ability to make novel research contributions in computer vision, imaging and machine learning.
You will be a key part of a team that is building breakthrough end-to-end perception stacks for autonomous vehicles. We are looking for candidates that are motivated to solve key imaging and computer vision problems that will enable robust robotics and sensing in adverse scenarios in the wild. The technology developed at Algolux is deployed at scale in vehicles and camera solutions.
We believe in interdisciplinary research at Algolux and candidates will be working with a diverse team of computer vision, imaging, optimization, physics, and optics experts. As part of this team, we expect novel ideas to be published in major publications from time to time.
Develop and evaluate deep learning models in the wild.
Don't be satisfied with solving toy problems. Solve the real problem in the wild.
Build compelling demos and illustrative results.
Work closely with an established engineering team
Requirements:
Ph.D. or Masters in computer science or engineering, in areas related to computer vision, computational imaging, and machine learning.
Experience in Automotive Computer Vision systems
Track record of relevant publications in top-tier conferences and journals (ICCV, CVPR, ICML, SIGGRAPH, NeurIPS, etc.) and/or significant industry experience working as a member of a camera/vision research team.
Desirable Requirements:
Experience with Deep Learning frameworks (Tensorflow, PyTorch, etc.), model architecture design, training methodologies, and data management.
Experience with digital camera systems (sensors and ISPs).
Hands-on experience with geometric computer vision.
C++/Python programming.
Knowledge of cloud-based and GPU heterogeneous compute platforms.
Agile development with Git, Bitbucket, pull requests, etc.",3.5,Algolux,"Montréal, QC"
4,"Software Engineer, Machine Learning",None,"Slack is looking for a Machine Learning Engineer to craft and implement features, services, API methods, infrastructure, and models to leverage our data to make Slack a fabulous, robust, safe, and valuable product for our users. The team is working on security and recommendation systems at the moment, but ultimately are looking for engineers who can help drive impact with machine learning all over the organization.

At Slack, that impact can be huge:
We have over 10 million daily active users relying on our product.
At peak usage, a million messages a minute passed through Slack.
During the week, our users spend over a billion minutes a day active in our product.

Machine learning engineers at Slack touch a great variety of parts of our technical stack. At various times, you may find yourself:

Building an offline data pipeline in Apache Spark or Hive that is scheduled with Apache Airflow
Training a machine learning model in tensorflow or other common ML framework
Building services in Java, Go and Python, running on Kubernetes within Slack's unique service architecture
Implementing features in Slack's monolithic PhP/Hack web application.
Maintaining various pieces of our ML infrastructure with tools like Chef and Hashicorp Terraform

We don't expect everyone to be an expert in everything, but we are looking for candidates with experience in Machine Learning, a strength in at least a couple of these, and who are excited to learn the rest.

This is a practical machine learning team, not a research team. Our goal is to deliver business value with machine learning and data in whatever form that takes. Sometimes that means bootstrapping something simple like a logistic regression and moving on. Other times that means developing sophisticated, finely tuned models and novel solutions to Slack's unique problem space. We are looking for engineers who are driven by driving impact for our business, building great products for our customers, and delivering robust, reliable services with machine learning.
What you will be doing

Brainstorm with Product Managers, Designers and Frontend Engineers to conceptualize and build new features for our large (and growing!) user base.
Produce high-quality results by leading or contributing heavily to large multi-functional projects that have a significant impact on the business.
Actively own features or systems and define their long-term health, while also improving the health of surrounding systems.
Assist our skilled support team and operations team in triaging and resolving production issues.
Mentor other engineers and deeply review code.
Improve engineering standards, tooling, and processes

What you should have

Been building web applications, backend infrastructure, data pipelines, and/or machine learning models for 2+ years
Experience with functional or imperative programming languages: PHP, Python, Ruby, Go, C, Scala or Java.
Are analytical and data driven
Have put machine learning models or other data-derived artifacts into production at scale.
Can lead technical architecture discussions and help drive technical decisions within the team.
Write understandable, testable code with an eye towards maintainability.
As a strong communicator, you are capable of explaining complex technical concepts to designers, support, and other specialists is no problem.
You possess strong computer science fundamentals: data structures, algorithms, programming languages, distributed systems, and information retrieval.
A bachelor's degree in Computer Science, Engineering, Statistics, Mathematics or a related field, or you have equivalent training, fellowship, or work experience.",3.8,Slack,British Columbia
5,BHJOB15656_16315 - Sr Project Manager with Machine Learning/...,None,"The recruitment team at Myticas Consulting is looking for an experienced Business Analyst who would be interested in a remote contract opportunity offered within the Ottawa/Eastern Ontario region.
Security Clearance Required: Enhanced Reliability.
Define and utilize relevant business analysis techniques and methodologies to perform solution analysis and design, this could include but is not limited to:
Requirements/Features management (requirements traceability, baselining, etc.)
Requirements elicitation (prototyping, reverse engineering, focus groups, interviews, etc.)
Requirements/Features analysis such as analyzing requirements, constructing workflow charts and diagrams, studying system capabilities, writing specifications (process modeling, organization modeling, use cases, etc.)
Solution assessment and validation (support of user acceptance testing, defect and issue reporting, etc.)
Development of test cases as appropriate
Development of functional designs or detailed user stories
Drive the definition, optimization, improvement, and approved changes to new and existing business processes and IT solutions via development of business and functional requirements
Determine operational objectives by studying critical business functions (“CBFs”), gathering information, evaluating output requirements and formats
Recommend controls by identifying problems, writing improved procedures
Prepare technical reports by collecting, analyzing, and summarizing information and trends
Assist with testing end-to-end solution as appropriate
Identify risks and inform the leadership team of potential mitigations
Skills and Experience
Must Have:
6+ years of experience in a Business Analyst role
Knowledgeable in systems change / configuration management, application configuration, and testing.
Understands principles of iterative development, and able to document business requirements as Agile user stories
Proven ability to identify, formalize, and problem solve business needs
Nice to have:
Experience in Azure Cloud environment
Agile experience
Jira tools experience
Knowledge in alert and monitoring requirements analysis
Knowledge in performance test requirements",3.9,Myticas Consulting,Ontario
6,"Vice President, Enterprise Analytics and Data Science",None,"We're looking for a Vice President of Enterprise Analytics and Data Science , to lead all aspects of our data experience, ranging from data acquisition and integration, to core operational and product data methodologies, to functional oversight of day-to-day data processing and quality control, to product management of all data access tools, to supporting the internal customers of the resulting data asset. This position will be ultimately responsible for helping transform the company into a business that truly differentiates and competes utilizing information and analytics.

This role is remote and can be based out of Vancouver or Toronto.

WHAT YOU'LL DO:
Lead the team responsible for building and managing the technical infrastructure, data platform and visualization technologies, and all aspects of data analytics efforts.
Establish data science as a discipline and unite the analytics, data engineering, and machine learning efforts across the company.
Drive, mentor, and motivate the organization to focus on continuous operational excellence and the delivery of information and analytics platforms and solutions to the business's key stakeholders.
Own and develop the vision, strategy, and execution for global enterprise data & advanced analytics, ensuring scalability of systems processes and talent.
Design, build and drive overall strategy, governance, methodology, and roadmap for the processes, systems, tools and capabilities required to produce and maintain core data assets, OKRs, KPIs, metrics and resulting predictive analytics
Drive both strategic and tactical execution. apply statistical and data science methods to the wealth of available data stored in variety of internal and external data stores to generate critical actionable insights to inform the organization's strategy to help meet the changing business needs and drive the decision-making process
Consult with key internal stakeholders to ensure organizational research needs are met and all data collection and analytics efforts are streamlined and optimized.
Develop, implement and utilize machine learning algorithms and data science approaches
Partner with multiple business stakeholders and cross-functional teams to design, develop and execute data science projects and/or build out of machine learning products with the urgency appropriated for the business objectives
Implement and follow reproducible, auditable, collaborative development practices.
Ensure the team has the right tools, processes and agile principles in place to deliver work that is on time and to specification.
Focus on automation and utilizing technology to provide repeatable solutions; drive optimization and efficiency initiatives to support reduced cycle time.
Monetizing data and information. Find ways to leverage existing enterprise data and information in company's products and services.

WHAT YOU'LL NEED:
Bachelor's degree in Computer Science, Engineering, Statistics, Applied Mathematics or a related field.
Minimum of 15 + years working in data pipelines, data warehouse, data analytics, data science, machine learning, data visualization, and business intelligence.
Ability to work with different data architectures to derive insights and build analytic solutions.
Proven ability to establish and articulate a vision, set goals, develop and execute integrated analytics strategies, and track and measure results.
Demonstrated extensive experience ideating, designing, building, applying and automating mathematical models and data science methods, statistical analyses, predictive analytics, and modeling, to provide repeatable solutions.
Proven ability to oversee global data governance and data integrity protocols and procedures.
Proven ability to manage data insights and analytics, including enterprise dashboards and support the creation of functional dashboards in partnership with business functions.
Experience with business driven / self-service BI
A solid understanding of data security and privacy technologies
Proven ability to complete projects and achieve results in an ambiguous work environment.
Proven leadership building data analytics, data science or data engineering teams with the ability to motivate a team to achieve well communicated expectations.
Proven strong negotiating and consensus building abilities.
Proven skills to work effectively across internal functional areas in ambiguous situations.
A passion for solving complex system and data challenges and desire to thrive in a constantly innovating and changing environment
Outstanding business acumen with an understanding of business drivers and of how to drive value to the customer.
Ability to translate business needs to analytic requirements and interpret the results of complex data analysis and communicate them to broad audiences.
Resilience, Tolerance for Change/Ambiguity: can effectively cope with change, finding ways to advance work and projects, even in the face of uncertainty
Collaboration and Teamwork: works with others to deliver results, meaningfully contributing to the team and prioritizing group needs over individual needs
Commitment to Results: consistently achieves results, demonstrating high performance, and challenging self and others to deliver results
Decision Making: consistently chooses the best course of action (from a number of alternatives) to address business problems and/or opportunities
Influence: Asserts own ideas and persuades others, gaining support and commitment and mobilizing people to take action
Process/Project Management: skilled at figuring out and managing the processes and timelines necessary to get work accomplished

Builds inclusive, cohesive teams which apply diversity to achieve common goals
Capably delivers results through others, is good at establishing clear direction, helping others achieve their best work
Identifies key issues and relationships relevant to achieving a long-range goal or vision; Builds an integrated plan for course of action to accomplish this vision
Challenges and supports others to create results but also develop new capabilities. Successfully develops the capacity and capability of team and individuals on the team

WHO YOU ARE:
Tenacious. You are determined to succeed, and you are motivated by the success of customers, colleagues and the community.
Curious. You are always learning and seeking ways to make things better.
Conscientious. You keep your promises, taking your commitments to others seriously, and you have strong integrity.
Humble. You lead with humility and empathy, respecting and learning from the perspectives of others.

__________________________________________________________________________________________________

Share our values: We champion the power of human connection. We're united globally by our shared values of innovation, grit, humility, and passion for customer success.

Make an impact: Working at the speed of social, we create value for our customers by delivering solutions that power relationships at scale. Our pace of work enables fast learning and fosters an environment where you can stretch yourself and make an impact.

Learn and grow: We're committed to growing the capabilities of our people. We are building a learning community where you can work with diverse individuals, explore new ways of thinking, and expand your capabilities. Our employees are teachers and learners who work out loud and share their knowledge to enhance each other's growth.

We are dedicated to building a diverse community, one where employees feel a sense of belonging, and are valued for their contributions and the perspectives they bring. Our purpose is to champion the power of human connection and the heart of connection is inclusion. You belong here.

Accommodations will be provided as requested by candidates taking part in all aspects of the selection process.

#LI-JL1",3.7,Hootsuite,"Vancouver, BC"
7,"Technical Lead, Data Science",None,"Score Media and Gaming Inc. empowers millions of sports fans through its digital media and sports betting products. Its media app ‘theScore’ is one of the most popular in North America, delivering fans highly-personalized live scores, news, stats, and betting information from their favorite teams, leagues, and players. The Company’s sports betting app ‘theScore Bet’ delivers an immersive and holistic mobile sports betting experience and is currently available to place wagers in New Jersey, Colorado, Indiana and Iowa. Publicly traded on the Toronto Stock Exchange and Nasdaq (SCR), theScore also creates and distributes innovative digital content through its web, social and esports platforms.
On the Analytics team at theScore, our mission is to develop high-quality and sustainable data-driven solutions to improve profitability, growth and the user experience. As a Technical Lead, Data Science, you’ll lead a team of Data Scientists, build & deploy models to power new in-app features, automate business processes and create tools to help key stakeholders make better decisions. The ideal candidate has strong python modelling skills, a passion for statistical analysis, a background in mathematics and an interest in professional sports, betting & esports.
Typical Work Day at theScore:
Lead a team of Data Scientists and Senior Data Scientists.
Liaise with key stakeholders to identify business problems that can be addressed with data science solutions.
Design & implement predictive models to support the risk & trading, marketing and product teams.
Build robust project plans and lead cross-department data science projects from inception to deployment
Liaise with Data Engineers to help define data science infrastructure and tools required
Liaise with Data Engineers to deploy models and productionize code
Continuously improve model implementations and adapt to changing technologies.
Present data science solutions and deliverables in a compelling way to influence senior leadership
Manage hiring, onboarding and continued professional development of Data Scientists
Work with the Analytics leadership team to define strategy & direction of Analytics at theScore.
Other duties as required.
Requirements
University degree in Computer Science, Mathematics, Statistics or related field.
4+ years of related experience.
Experience leading a team of data scientists or data-driven individuals.
Strong knowledge of python development for quantitative analysis & statistical modelling
Strong knowledge of relational databases and SQL.
Experience with python for machine learning model development and deployment
Experience manipulating large data sets with high dimensionality and complexity
Experience with automation tools such as Airflow, DBT or Cron jobs.
Experience with cloud services such as AWS or GCP
A passion and curiosity for solving business problems using quantitative approaches.
Ability to discuss complex topics in a clear and simple manner.
Excellent written and oral communications skills.
Knowledge of the sports betting industry is preferred, but not mandatory.
What We Offer:
Competitive salary with Employee Share Purchase Plan.
Comprehensive Benefits package.
Education and conference reimbursement.
A/V club, Friday presentations, book library, and more.
Top of the line office hardware
Parental leave top-up.
theScore is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability or age.
#LI-Remote
Job Type: Full-time",3.3,theScore Inc.,"Toronto, ON"
8,Volunteer Co-op - 2021 Summer,None,"Job Description



DESCRIPTION OF POSITION:
Job Purpose:
LTI Canada is looking for a Data Scientist Intern to work on a project leveraging our data assets to develop an innovative solution.


Role Summary:

Analyze, design and implement a data solution to meet our business need.


ROLES AND RESPONSIBILITIES:
Seek out a better way to do things, new tools, new technologies, new processes
Work on a transformational project delivering new value
Work as part of an agile team


SKILLS AND OTHER REQUIREMENTS:

University degree / college diploma
Strong analytical skills and attention to detail
Strong foundation in software engineering and core computer science
Technology stack; Java, Python, etc.
Knowledge and experience in financial services industry is a plus
Analytical thinking and ability to work effectively and efficiently
Team player with strong verbal and written communication skills


L&T Infotech has an accommodation process in place and provides accommodations for employees with disabilities. If you require a specific accommodation because of a disability or a medical need, please contact Human Resources so that arrangements can be made for the appropriate accommodations to be in place before you begin your employment.",3.7,Larsen & Toubro Infotech Limited,Ontario
9,"Data Analyst, Reporting",None,"Req Id: 295775

At Bell, we do more than build world-class networks, develop innovative services and create original multiplatform media content – we advance how Canadians connect with each other and the world.

If you’re ready to bring game-changing ideas to life and join a community that values, professional growth and employee wellness, we want you on the Bell team.

The Bell Mobility team offers the best and latest mobile devices, wireless services and Internet of Things solutions to consumer and business customers, with the top speeds, coverage and reliability on Canada’s Best National Network. We love to innovate, embrace big challenges, and live for the newest technology

The Customer Operations Data Science group provides critical insights, ensures cross functional alignment of goals and execution, and helps internal clients drive strategic partnerships and new initiatives forward.

The Customer Operations Data Science team provides insightful perspective and direction on operational strategy and performance of Bell’s award winning Customer Experience business unit. The team focuses on cutting-edge end-to-end business intelligence solutions that support information creation and delivery within business lines and to senior executive across Bell’s business units.

Team members are experts in business strategy and operations, analytical and strategic, yet highly pragmatic and results-oriented. As a Data Analyst, you will work on projects that take on some of the most complex business challenges in the Telecommunications industry. Reporting to the Senior Manager, Advanced Analytics your knowledge of strategy and operations combined you’re your communication skills and analytical rigour will shape the way that we do business.

What we need from you:
You must care! Care about your work. Care about your clients. Care about your colleagues
Passion and enthusiasm for analyzing large datasets and making actionable decisions
Able to break down the most complex problems into smaller actionable pieces
Ability to work with and make appropriate decisions with incomplete datasets
Help the business “connect the dots” and understand “the big picture” – and to never lose sight of this
Interest in using data and technologies to help solve business problems

What we would like form you:
3-5 years of SQL experience using enterprise production level data
An undergraduate degree in business/commerce, engineering, mathematics
Experience in Telecommunications, Operations or Consulting industries
Effective process/project management skills and the ability to navigate and influence stakeholders
Excellent communication skills with the ability to comfortably interact with partners and executive management

Bilingualism is an asset (English and French); adequate knowledge of French is required for positions in Quebec.

Additional Information:
Position Type: Management
Job Status: Regular - Full Time
Job Location: Toronto || Canada : Ontario : Mississauga || Canada : Ontario : Toronto || Canada : Quebec : Montreal West
Application Deadline: 06/24/2021

Please apply directly online to be considered for this role. Applications through email will not be accepted.

At Bell, we don’t just accept difference - we celebrate it. We’re committed to fostering an inclusive, equitable, and accessible workplace where every team member feels valued, respected, and supported, and has the opportunity to reach their full potential. We welcome and encourage applications from people with disabilities.

Accommodations are available on request for candidates taking part in all aspects of the selection process. For a confidential inquiry, simply email your recruiter directly or recruitment@bell.ca to make arrangements. If you have questions regarding accessible employment at Bell please email our Diversity & Inclusion Team at inclusion@bell.ca.

Created: Canada, ON, Mississauga

Bell, one of Canada's Top 100 Employers.",3.9,Bell Canada,"Mississauga, ON"
