,Job Title,Salary Estimate,Job Description,Review,Company Name,Location
0,"Technical Lead, Data Science",None,"Score Media and Gaming Inc. empowers millions of sports fans through its digital media and sports betting products. Its media app ‘theScore’ is one of the most popular in North America, delivering fans highly-personalized live scores, news, stats, and betting information from their favorite teams, leagues, and players. The Company’s sports betting app ‘theScore Bet’ delivers an immersive and holistic mobile sports betting experience and is currently available to place wagers in New Jersey, Colorado, Indiana and Iowa. Publicly traded on the Toronto Stock Exchange and Nasdaq (SCR), theScore also creates and distributes innovative digital content through its web, social and esports platforms.
On the Analytics team at theScore, our mission is to develop high-quality and sustainable data-driven solutions to improve profitability, growth and the user experience. As a Technical Lead, Data Science, you’ll lead a team of Data Scientists, build & deploy models to power new in-app features, automate business processes and create tools to help key stakeholders make better decisions. The ideal candidate has strong python modelling skills, a passion for statistical analysis, a background in mathematics and an interest in professional sports, betting & esports.
Typical Work Day at theScore:
Lead a team of Data Scientists and Senior Data Scientists.
Liaise with key stakeholders to identify business problems that can be addressed with data science solutions.
Design & implement predictive models to support the risk & trading, marketing and product teams.
Build robust project plans and lead cross-department data science projects from inception to deployment
Liaise with Data Engineers to help define data science infrastructure and tools required
Liaise with Data Engineers to deploy models and productionize code
Continuously improve model implementations and adapt to changing technologies.
Present data science solutions and deliverables in a compelling way to influence senior leadership
Manage hiring, onboarding and continued professional development of Data Scientists
Work with the Analytics leadership team to define strategy & direction of Analytics at theScore.
Other duties as required.
Requirements
University degree in Computer Science, Mathematics, Statistics or related field.
4+ years of related experience.
Experience leading a team of data scientists or data-driven individuals.
Strong knowledge of python development for quantitative analysis & statistical modelling
Strong knowledge of relational databases and SQL.
Experience with python for machine learning model development and deployment
Experience manipulating large data sets with high dimensionality and complexity
Experience with automation tools such as Airflow, DBT or Cron jobs.
Experience with cloud services such as AWS or GCP
A passion and curiosity for solving business problems using quantitative approaches.
Ability to discuss complex topics in a clear and simple manner.
Excellent written and oral communications skills.
Knowledge of the sports betting industry is preferred, but not mandatory.
What We Offer:
Competitive salary with Employee Share Purchase Plan.
Comprehensive Benefits package.
Education and conference reimbursement.
A/V club, Friday presentations, book library, and more.
Top of the line office hardware
Parental leave top-up.
theScore is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability or age.
#LI-Remote
Job Type: Full-time",3.3,theScore Inc.,"Toronto, ON"
1,Data & Applied Scientist 2,None,"Are you passionate about building best image search and recommendation experience on the web and deliver the most relevant and enjoyable image content to billions of internet users? Do you want to work with a group of talented data and applied scientists and distributed system engineers to grow your experience/career in a wide range of areas including computer vision, natural language processing, machine learning, deep learning, big data mining, and information retrieval etc? If so, this data and applied scientist position on Bing image index quality team may be a great fit for you!

The Bing image index quality team owns the index behind Bing image search and recommendation experience, which consists of hundreds of billions of images and pages. We leverage advanced technology in machine learning and big data processing to ensure the comprehensives, richness, cleanness and freshness of the index, to empower scenarios such as search and recommendation. It is more than just finding images on the internet – it’s about training sophisticated machine learning models to drive discovery, selection, and ranking of images, using deep learnings to understand the pages and images, taking advantage of big data and signals from millions of people across the web. Machine learning, deep learning, natural language processing, computer vision, big data mining and information retrieval - it’s all part of the job. You will not only train the model, but also build the data pipelines from end to end, including data collection and analysis, model training and deployment, and building the data pipelines. It is a cross area of system engineering and AI.

The Bing image index quality team is looking for a talented data and applied scientist to help us deliver our next generation of image index. Qualified applicants should have a strong machine learning background, excellent coding skills, and a MS or higher degree in computer science or a related field. We are looking for a self-motivated and passionate individual who is interested in applying machine learning, deep learning, natural language processing, computer vision and data mining to help us build the best image index on the web and make an impact on millions of users. You should have strong technical skills and be able to apply research concepts in new and innovative ways.
This is a fun and fast paced environment, where developers are empowered to innovate. This is a great opportunity to work on something highly strategic to Microsoft, and an opportunity to directly impact millions of users in an exciting area.
Responsibilities
As data and applied scientist, you will have wide range of responsibilities and opportunities to learn and make impact, which includes but not limited to

Analyze the problem through all data available to you including large scale crawled data and user engagement data etc.
Define problem and metrics to address various problems include comprehensiveness, richness, freshness, cleanness of the index, as well as topic authority and relevance in search and recommendation scenarios.
Define engineer life cycle and drive project forwards through iterative releases
Deliver results through drive the projects end to end, not limited to model training, but also including building data pipelines and integrating with engineering systems.
Collaborate with other data & applied scientist as well as distributed system engineer and program manager
Proactively seeks mentorship from others
Qualifications
Required Qualifications:

Master’s degree in Computer Science, Engineering, Applied Mathematics, or related field
2+ years of experience with general purpose programming language (C/C++/C#/Java/Python etc.)
2+ years of experience in the areas of machine learning, deep learning, information retrieval, natural language processing or data mining
Good communication skills and ability to work in collaborative environment
Good design and problem-solving skills and an ability to innovate and solve challenging technical problems
Passion and self-motivated
Embrace engineering excellence and delivering quality results at scale, end-to-end, including date collection and analysis, model training and deployment, and building data pipelines.

Preferred Qualifications:
Ph.D. preferred
Strong machine learning / computer vision / natural language processing experience and results in academy or industry. Publications in major ML/IR/NLP/CV conferences. Examples: ICML, NIPS, SIGIR, ACL, EMNLP, CVPR, KDD
Experience in open source (spark, hbase, hadoop etc) or microsoft internal tech (cosmos, autopilot, azure) are big plus as most of our project/scenario is across system and AI areas

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",4.2,Microsoft,"Vancouver, BC"
2,Volunteer Co-op - 2021 Summer,None,"Job Description



DESCRIPTION OF POSITION:
Job Purpose:
LTI Canada is looking for a Data Scientist Intern to work on a project leveraging our data assets to develop an innovative solution.


Role Summary:

Analyze, design and implement a data solution to meet our business need.


ROLES AND RESPONSIBILITIES:
Seek out a better way to do things, new tools, new technologies, new processes
Work on a transformational project delivering new value
Work as part of an agile team


SKILLS AND OTHER REQUIREMENTS:

University degree / college diploma
Strong analytical skills and attention to detail
Strong foundation in software engineering and core computer science
Technology stack; Java, Python, etc.
Knowledge and experience in financial services industry is a plus
Analytical thinking and ability to work effectively and efficiently
Team player with strong verbal and written communication skills


L&T Infotech has an accommodation process in place and provides accommodations for employees with disabilities. If you require a specific accommodation because of a disability or a medical need, please contact Human Resources so that arrangements can be made for the appropriate accommodations to be in place before you begin your employment.",3.7,Larsen & Toubro Infotech Limited,Ontario
3,"Data Analyst, Reporting",None,"Req Id: 295775

At Bell, we do more than build world-class networks, develop innovative services and create original multiplatform media content – we advance how Canadians connect with each other and the world.

If you’re ready to bring game-changing ideas to life and join a community that values, professional growth and employee wellness, we want you on the Bell team.

The Bell Mobility team offers the best and latest mobile devices, wireless services and Internet of Things solutions to consumer and business customers, with the top speeds, coverage and reliability on Canada’s Best National Network. We love to innovate, embrace big challenges, and live for the newest technology

The Customer Operations Data Science group provides critical insights, ensures cross functional alignment of goals and execution, and helps internal clients drive strategic partnerships and new initiatives forward.

The Customer Operations Data Science team provides insightful perspective and direction on operational strategy and performance of Bell’s award winning Customer Experience business unit. The team focuses on cutting-edge end-to-end business intelligence solutions that support information creation and delivery within business lines and to senior executive across Bell’s business units.

Team members are experts in business strategy and operations, analytical and strategic, yet highly pragmatic and results-oriented. As a Data Analyst, you will work on projects that take on some of the most complex business challenges in the Telecommunications industry. Reporting to the Senior Manager, Advanced Analytics your knowledge of strategy and operations combined you’re your communication skills and analytical rigour will shape the way that we do business.

What we need from you:
You must care! Care about your work. Care about your clients. Care about your colleagues
Passion and enthusiasm for analyzing large datasets and making actionable decisions
Able to break down the most complex problems into smaller actionable pieces
Ability to work with and make appropriate decisions with incomplete datasets
Help the business “connect the dots” and understand “the big picture” – and to never lose sight of this
Interest in using data and technologies to help solve business problems

What we would like form you:
3-5 years of SQL experience using enterprise production level data
An undergraduate degree in business/commerce, engineering, mathematics
Experience in Telecommunications, Operations or Consulting industries
Effective process/project management skills and the ability to navigate and influence stakeholders
Excellent communication skills with the ability to comfortably interact with partners and executive management

Bilingualism is an asset (English and French); adequate knowledge of French is required for positions in Quebec.

Additional Information:
Position Type: Management
Job Status: Regular - Full Time
Job Location: Toronto || Canada : Ontario : Mississauga || Canada : Ontario : Toronto || Canada : Quebec : Montreal West
Application Deadline: 06/24/2021

Please apply directly online to be considered for this role. Applications through email will not be accepted.

At Bell, we don’t just accept difference - we celebrate it. We’re committed to fostering an inclusive, equitable, and accessible workplace where every team member feels valued, respected, and supported, and has the opportunity to reach their full potential. We welcome and encourage applications from people with disabilities.

Accommodations are available on request for candidates taking part in all aspects of the selection process. For a confidential inquiry, simply email your recruiter directly or recruitment@bell.ca to make arrangements. If you have questions regarding accessible employment at Bell please email our Diversity & Inclusion Team at inclusion@bell.ca.

Created: Canada, ON, Mississauga

Bell, one of Canada's Top 100 Employers.",3.9,Bell Canada,"Mississauga, ON"
4,"Technical Lead, Data Science",None,"Score Media and Gaming Inc. empowers millions of sports fans through its digital media and sports betting products. Its media app ‘theScore’ is one of the most popular in North America, delivering fans highly-personalized live scores, news, stats, and betting information from their favorite teams, leagues, and players. The Company’s sports betting app ‘theScore Bet’ delivers an immersive and holistic mobile sports betting experience and is currently available to place wagers in New Jersey, Colorado, Indiana and Iowa. Publicly traded on the Toronto Stock Exchange and Nasdaq (SCR), theScore also creates and distributes innovative digital content through its web, social and esports platforms.
On the Analytics team at theScore, our mission is to develop high-quality and sustainable data-driven solutions to improve profitability, growth and the user experience. As a Technical Lead, Data Science, you’ll lead a team of Data Scientists, build & deploy models to power new in-app features, automate business processes and create tools to help key stakeholders make better decisions. The ideal candidate has strong python modelling skills, a passion for statistical analysis, a background in mathematics and an interest in professional sports, betting & esports.
Typical Work Day at theScore:
Lead a team of Data Scientists and Senior Data Scientists.
Liaise with key stakeholders to identify business problems that can be addressed with data science solutions.
Design & implement predictive models to support the risk & trading, marketing and product teams.
Build robust project plans and lead cross-department data science projects from inception to deployment
Liaise with Data Engineers to help define data science infrastructure and tools required
Liaise with Data Engineers to deploy models and productionize code
Continuously improve model implementations and adapt to changing technologies.
Present data science solutions and deliverables in a compelling way to influence senior leadership
Manage hiring, onboarding and continued professional development of Data Scientists
Work with the Analytics leadership team to define strategy & direction of Analytics at theScore.
Other duties as required.
Requirements
University degree in Computer Science, Mathematics, Statistics or related field.
4+ years of related experience.
Experience leading a team of data scientists or data-driven individuals.
Strong knowledge of python development for quantitative analysis & statistical modelling
Strong knowledge of relational databases and SQL.
Experience with python for machine learning model development and deployment
Experience manipulating large data sets with high dimensionality and complexity
Experience with automation tools such as Airflow, DBT or Cron jobs.
Experience with cloud services such as AWS or GCP
A passion and curiosity for solving business problems using quantitative approaches.
Ability to discuss complex topics in a clear and simple manner.
Excellent written and oral communications skills.
Knowledge of the sports betting industry is preferred, but not mandatory.
What We Offer:
Competitive salary with Employee Share Purchase Plan.
Comprehensive Benefits package.
Education and conference reimbursement.
A/V club, Friday presentations, book library, and more.
Top of the line office hardware
Parental leave top-up.
theScore is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability or age.
#LI-Remote",3.3,theScore,"Toronto, ON"
5,"Vice President, Enterprise Analytics and Data Science",None,"We're looking for a Vice President of Enterprise Analytics and Data Science , to lead all aspects of our data experience, ranging from data acquisition and integration, to core operational and product data methodologies, to functional oversight of day-to-day data processing and quality control, to product management of all data access tools, to supporting the internal customers of the resulting data asset. This position will be ultimately responsible for helping transform the company into a business that truly differentiates and competes utilizing information and analytics.

This role is remote and can be based out of Vancouver or Toronto.

WHAT YOU'LL DO:
Lead the team responsible for building and managing the technical infrastructure, data platform and visualization technologies, and all aspects of data analytics efforts.
Establish data science as a discipline and unite the analytics, data engineering, and machine learning efforts across the company.
Drive, mentor, and motivate the organization to focus on continuous operational excellence and the delivery of information and analytics platforms and solutions to the business's key stakeholders.
Own and develop the vision, strategy, and execution for global enterprise data & advanced analytics, ensuring scalability of systems processes and talent.
Design, build and drive overall strategy, governance, methodology, and roadmap for the processes, systems, tools and capabilities required to produce and maintain core data assets, OKRs, KPIs, metrics and resulting predictive analytics
Drive both strategic and tactical execution. apply statistical and data science methods to the wealth of available data stored in variety of internal and external data stores to generate critical actionable insights to inform the organization's strategy to help meet the changing business needs and drive the decision-making process
Consult with key internal stakeholders to ensure organizational research needs are met and all data collection and analytics efforts are streamlined and optimized.
Develop, implement and utilize machine learning algorithms and data science approaches
Partner with multiple business stakeholders and cross-functional teams to design, develop and execute data science projects and/or build out of machine learning products with the urgency appropriated for the business objectives
Implement and follow reproducible, auditable, collaborative development practices.
Ensure the team has the right tools, processes and agile principles in place to deliver work that is on time and to specification.
Focus on automation and utilizing technology to provide repeatable solutions; drive optimization and efficiency initiatives to support reduced cycle time.
Monetizing data and information. Find ways to leverage existing enterprise data and information in company's products and services.

WHAT YOU'LL NEED:
Bachelor's degree in Computer Science, Engineering, Statistics, Applied Mathematics or a related field.
Minimum of 15 + years working in data pipelines, data warehouse, data analytics, data science, machine learning, data visualization, and business intelligence.
Ability to work with different data architectures to derive insights and build analytic solutions.
Proven ability to establish and articulate a vision, set goals, develop and execute integrated analytics strategies, and track and measure results.
Demonstrated extensive experience ideating, designing, building, applying and automating mathematical models and data science methods, statistical analyses, predictive analytics, and modeling, to provide repeatable solutions.
Proven ability to oversee global data governance and data integrity protocols and procedures.
Proven ability to manage data insights and analytics, including enterprise dashboards and support the creation of functional dashboards in partnership with business functions.
Experience with business driven / self-service BI
A solid understanding of data security and privacy technologies
Proven ability to complete projects and achieve results in an ambiguous work environment.
Proven leadership building data analytics, data science or data engineering teams with the ability to motivate a team to achieve well communicated expectations.
Proven strong negotiating and consensus building abilities.
Proven skills to work effectively across internal functional areas in ambiguous situations.
A passion for solving complex system and data challenges and desire to thrive in a constantly innovating and changing environment
Outstanding business acumen with an understanding of business drivers and of how to drive value to the customer.
Ability to translate business needs to analytic requirements and interpret the results of complex data analysis and communicate them to broad audiences.
Resilience, Tolerance for Change/Ambiguity: can effectively cope with change, finding ways to advance work and projects, even in the face of uncertainty
Collaboration and Teamwork: works with others to deliver results, meaningfully contributing to the team and prioritizing group needs over individual needs
Commitment to Results: consistently achieves results, demonstrating high performance, and challenging self and others to deliver results
Decision Making: consistently chooses the best course of action (from a number of alternatives) to address business problems and/or opportunities
Influence: Asserts own ideas and persuades others, gaining support and commitment and mobilizing people to take action
Process/Project Management: skilled at figuring out and managing the processes and timelines necessary to get work accomplished

Builds inclusive, cohesive teams which apply diversity to achieve common goals
Capably delivers results through others, is good at establishing clear direction, helping others achieve their best work
Identifies key issues and relationships relevant to achieving a long-range goal or vision; Builds an integrated plan for course of action to accomplish this vision
Challenges and supports others to create results but also develop new capabilities. Successfully develops the capacity and capability of team and individuals on the team

WHO YOU ARE:
Tenacious. You are determined to succeed, and you are motivated by the success of customers, colleagues and the community.
Curious. You are always learning and seeking ways to make things better.
Conscientious. You keep your promises, taking your commitments to others seriously, and you have strong integrity.
Humble. You lead with humility and empathy, respecting and learning from the perspectives of others.

__________________________________________________________________________________________________

Share our values: We champion the power of human connection. We're united globally by our shared values of innovation, grit, humility, and passion for customer success.

Make an impact: Working at the speed of social, we create value for our customers by delivering solutions that power relationships at scale. Our pace of work enables fast learning and fosters an environment where you can stretch yourself and make an impact.

Learn and grow: We're committed to growing the capabilities of our people. We are building a learning community where you can work with diverse individuals, explore new ways of thinking, and expand your capabilities. Our employees are teachers and learners who work out loud and share their knowledge to enhance each other's growth.

We are dedicated to building a diverse community, one where employees feel a sense of belonging, and are valued for their contributions and the perspectives they bring. Our purpose is to champion the power of human connection and the heart of connection is inclusion. You belong here.

Accommodations will be provided as requested by candidates taking part in all aspects of the selection process.

#LI-JL1",3.7,Hootsuite,"Vancouver, BC"
6,"Manager, Strategic Data and Analytics",None,"What is the opportunity?
In the role of Manager, Strategic Data and Analytics, you will be responsible for evolving Private Banking data landscape to enable Private Banking growth strategy in the light of facts and insight. You will identify, research, analyze, recommend, and execute solutions to drive an outstanding client experience and strong business impact. You will work with partners across the enterprise including Private Banking, Wealth Management Canada, Technology, Enterprise Functions, and Personal & Commercial Banking. Your thought leadership will help shape the Private Banking strategy and your implementation skills will bring the strategy to life.

What will you do?
Establish credibility by quickly acquiring and demonstrating subject matter expertise and deep knowledge in Private Banking business
Drive future state reporting and Advanced analytics for private banking to enable a fact base strategy utilizing internal and external data and insight
Drive insight from Private Banking data and competitive landscape
What data is telling us
What we need to do accordingly
Evolve Private Banking data landscape by implementing core data capabilities to enable private banking growth strategy leveraging modern data architecture and technologies
Lead and implement complex data projects of various scopes and types through problem identification, defining an approach, planning, organizing, and execution
Contribute to the unique culture of Private Banking group by continually demonstrating commitment to coach and develop the team and grow the professional capabilities of the group and yourself

What do you need to succeed?
Must Have
3+ years’ experience in leveraging AI and advanced analytics to build reports, data modeling, and relevant business insights.
3+ years’ experience in building and managing databases and leveraging modern technologies to query, program, and present data
High Proficiency with SQL, SAS, Python, Tableau, Excel, and Power Point
Ability to work well under pressure, while maintaining a high standard output with attention to details
Business and financial acumen

Nice to Have
Strong understanding and experience of High Net Worth Client Segment and Private Banking
University degree in Engineering, Mathematics, Statistics, Data science or Computer Science or other quantitative field
Financial and business designations (e.g. CFA, Six Sigma)
What’s in it for you?
We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.

A comprehensive Total Rewards Program including bonuses and flexible benefits, competitive compensation, and stock where applicable
Leaders who support your development through coaching and managing opportunities
Ability to make a difference and lasting impact
Work in a dynamic, collaborative, progressive, and high-performing team
Flexible work/life balance options
Opportunities to do challenging work
Opportunities to take on progressively greater accountabilities
Access to a variety of job opportunities across business and geographies",4.0,RBC,"Toronto, ON"
7,Engineering Intern - AI/Deep Learning,None,"Based in Montreal and Toronto, Deeplite is an AI software company dedicated to enabling AI for everyday life. Deeplite uses AI to automatically make other AI models faster, smaller and more energy efficient creating highly compact, high-performance deep neural networks for deployment on edge devices such as cameras, sensors, drones, phones and vehicles. Deeplite was named to the 2020 CB Insights AI100 list of top 100 privately held AI companies and has been featured by Gartner, Forbes, and ARM AI as a premier Edge AI innovator.

At Deeplite, we are tackling inference optimization of deep neural networks, making them faster and energy-efficient from cloud to edge computing. Our solution leverages state-of-the-art technology from elite universities to make deep neural networks applicable for any device, and our team works hard on the iterative evolution of the science behind deep neural networks to directly improve daily life.

Our Innovation Lab is growing and we’re looking to hire an AI Research Intern.

Here’s what you’ll be doing:
As an intern, you will be tasked to advance the science and technology of Deeplite's engine. You'll interact with both leading academics and industry to create new advancements in the field of deep learning alongside top academic partners, and you'll have the opportunity to define and lead research directions and contribute to the AI research community by publishing papers, securing patents, collaborating with leading academic institutions, and speak and participate at international conferences.

Here’s what we need you to bring to the table:
Post-secondary education in a related field.
Must have at least 1 year of experience with Deep Learning frameworks like PyTorch or TensorFlow.
Must have at least 1-3 years of experience with C/C++, Python coding or other high-level languages.
A strong publication record or alternative relevant innovation experience.

What can I expect when I submit my application?
Although we’d love to be able to speak with everyone that applies, only those selected to move forward in our selection process will be contacted by our hiring team within 5 business days.

About Deeplite:

Deeplite, named to the 2020 CB Insights AI100 List of Most Innovative Artificial Intelligence Startups, is devoted to making fundamental advancements in accessible and efficient deep learning. Our solution helps deep learning engineers and experts automatically create faster, smaller and more energy-efficient deep neural networks. Industry leaders in computer vision, augmented reality and autonomous driving use our technology to unlock new possibilities for deep learning in the real world. At Deeplite, our vision is to create a lightweight intelligence that’s accessible for daily life.

Deeplite is an equal opportunity employer. Should you require special accommodation at any point during our selection process, please contact our hiring team at careers@deeplite.ai.",None,Deeplite Inc,"Toronto, ON"
8,"Sr. Data Analyst, Marketing & Digital Advertising",None,"Come play a key role in building the future of Sports & Media! Everyone wants to be part of a transformational team – and that’s exactly what we’re building at Rogers Sports & Media. A team that innovates and a team that wins.
At Rogers Sports & Media we are committed to creating and growing teams that are digital-first, fast-moving and bold-thinking and are focused on delivering impact with everything they do. Our impressive collection of assets includes media properties, sports teams, sports events & production, venues, e-commerce platforms and a close connection with our Connected Home and Wireless team. Collectively, we touch 30 million of Canadians every month!
Not only is our business strong, but so is our culture. We genuinely care about each other and working in an environment that allows each of us to bring our best authentic selves to work. That starts with our firm commitment to a diverse, inclusive and safe workplace. We’re also dedicated to giving back by using our media megaphone to help Canadians who need it most. Our team is All IN on diversity and inclusion – find out more at www.allinforequity.ca.
As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are temporarily working from home.
Are you up for the challenge and the fun? If so, consider the following opportunity!
We’re looking for a Sr. Data Analyst, Marketing & Digital Advertising to be part of the Rogers Sports & Media data team. This position will support the continuous evolution of our data-driven media platforms to deliver on highly engaging, personalized customer experience to support our advertising and subscription business.
What you will do:
Understand and connect large volumes of data and analyze the different data sets to find patterns, trends, and insights to capture a good view of the audience and/or campaign performance.
Define and maintain data-driven audience segments covering first and third-party data for purpose of digital advertising.
Design segmentation strategies based on behavioural data, market research, testing of new ideas, as well as continues tracking of results.
Develop automated processes to report on and analyse performance advertising campaigns and audience segment.
Work with the team to create an on-going process of data-driven optimization of advertising performance as well as innovative approaches to new product ideas.
What you will bring…
Advanced SQL skills, with hands on experience with database query operations e.g. Window functions, aggregations, DDL, and query optimizations etc.)
Proficient with data mining and reporting using MS-Excel.
Hands on familiarity with at least 1 programming language, ideally Python.
Experience with dashboarding tools is strongly preferred; e.g. Tableau, DOMO, PowerBI
Familiar with statistical methods (Regressions, t-tests) and linear algebra.
Familiar with Data Science libraries (Pandas/numpy/scikit-learn) is a plus
Experience with cloud environments such as Databricks/GCP/Azure is a plus
Exposure to marketing tech is a plus; digital analytics platforms; e.g. Adobe Analytics, Google Analytics, etc.), ad serving platforms, audience segmentation and Data Management Platform; e.g. Adobe Audience Manager, or Customer Data Platforms
Critical thinking mind who likes to solve complex problems, loves programming, cherishes to work in a fast-paced environment, flexible to adjust to evolving business needs and work effectively in cross-functional teams
Ability to communicate effectively to internal and external stakeholders in writing and in person.
Extremely well organized, proactive.
Ability to multi-task and prioritize workloads.
Agile & design thinking methodologies or frameworks
Passionate about new ideas and emerging market trends.
Here’s what you can expect in return:
A competitive salary and benefits that include access to our Employee Share Accumulation Program, Retirement Benefits and a variety of other perks including 50% off Rogers services and Blue Jays tickets
A manager who deeply cares about your development and long-term career at Rogers
A team that trusts and wants to win together
Smart and accomplished colleagues who are focused on both the “what” and the “how”
Flexibility to work from home even after the pandemic ends
Your choice of hardware and software (iPhone or Android/Mac or PC etc.)
As we grow our team, the well-being of our team members remains our top priority. To ensure the health and safety of our team members, including those in the recruitment process, our team members are working from home, and are equipped to do so safely and efficiently
Not from the city? No problem! Rogers invites candidates to apply no matter where you are located as you will be working remotely.

What makes us different makes us stronger. Rogers has a strong commitment to diversity and inclusion. Everyone who applies for a job will be considered. We recognize the business value in creating a workplace where each team member has the tools to reach their full potential. At Rogers, we value the insights and innovation that diverse teams bring to work. We work with our candidates with disabilities throughout the recruitment process to ensure that they have what they need to be at their best. Please reach out to our recruiters and hiring managers to begin a conversation about how we can ensure that you deliver your best work. You matter to us! For any questions, please visit the Rogers FAQ.

Schedule: Full time
Shift: Day
Length of Contract: Not Applicable (Regular Position)
Work Location: 1 Mount Pleasant (083), Toronto, ON
Travel Requirements: None
Posting Category/Function: Reporting and Analytics & Analyst
Requisition ID: 238616
Posting Notes: Media",3.7,Rogers Communications,"Toronto, ON"
9,Lead Data Scientist,None,"Antuit.ai is the leader in AI-powered SaaS solutions, empowering world-class Consumer Products and Retail companies to digitally transform their supply chain, merchandising, marketing and omnichannel operations. Antuit.ai’s executives, comprised of industry leaders from SAP, SAS, IBM, and Accenture, and our team of Ph.Ds., data scientists, technologists, and domain experts are passionate about generating real value for our clients. Antuit is funded by Goldman Sachs and Zodius Capital.
The Role:
Antuit.ai offers AI products that help CPG and retail companies to plan and operate their business better. The lead data scientist will play a critical role in ensuring the products are configured to provide the best solution to the users.
Responsibilities:
A key member of the Data Science team, this person will facilitate product solutioning, and design and tune the AI models to meet the business needs.
Responsibilities includes, but are not limited to the following:
Understand the client’s business including nuances of the products, sales channels, business cycles and levers like promotions, advertising etc.
Ensure completeness, accuracy and quality of data received
Identify anomalies in the data and work with the client to resolve the anomalies
Design, configure, and tune the AI product model to generate the necessary model outputs
Apply domain knowledge of CPG/retail, planning to extract features from the input data
Evaluate the accuracy of the model outputs and analyze the output to identify issues in the model
Create and present reports showing model performance, and have an engaging conversation with business stakeholders
Analyze and resolve any ongoing issues with model performance
Qualifications and Skills:
The successful candidate will have the following profile/experience:
Bachelor’s or Master’s degree
5+ years of Data Science experience
3+ years working with retail or CPG preferred
Good understanding of CPG or retail planning process. Understanding of Retail/CPG data model is a plus.
2+ years of hands-on experience in python, pyspark and SQL
Good understanding of regression and/or time series models
Expertise in evaluating model output and identifying model improvement opportunities.
Excellent problem-solving skills and natural ability to think analytically
Information Security Responsibilities
Understand and adhere to Information Security policies, guidelines and procedure, practice them for protection of organizational data and Information System.
Take part in Information Security training and act accordingly while handling information.
Report all suspected security and policy breach to Infosec team or appropriate authority (CISO).
EEOC
Antuit.ai is an at-will, equal opportunity employer. We consider applicants for all positions without regard to race, color, religion, national origin or ancestry, gender identity, sex, age (40+), marital status, disability, veteran status, or any other legally protected status under local, state, or federal law.
To apply, please send your resume or CV to careers@antuit.ai.
“Antuit.ai thanks all applicants; however, only those selected for an interview will be contacted. “",None,Antuit,Remote
