,Job Title,Company Name,Job Description,Location,Job Board
0,"Scientist, Data","Mosaic North America
",":

The Data Scientist will join the Advanced Analytics team focused on creating transformational analytics-enabled capabilities across all of Acosta’s businesses. This can range from using statistical methods, data-mining and machine-learning techniques, or generating novel approaches uniquely suited the challenge. We value complementary and divergent experiences to bring many points of view on how to approach solve a problem. Although our datasets range in size, you can expect to work with very large datasets regularly in this role.

The incumbent(s) in this position should exhibit the following Acosta values:
People Minded – Must show dignity and respect to all people
– Must exemplify the highest degree of ethical behavior
– Must show passion, pride and commitment to succeed
– Must be honest, sincere and confident
– Must build trusting relationships
– Must progress through a combination of creativity, common sense and vision
– Must maintain an optimistic attitude and keep perspective on what is important in life.",Midtown Toronto,Glassdoor
1,Machine Learning Engineer,Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.
We are looking for a motivated and passionate Machine Learning Engineers for our team.

As part of this job, you will be responsible for:
Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutions
Creating Scalable Machine Learning systems that are highly performant
Building reusable production data pipelines for implemented machine learning models
Writing production-quality code and libraries that can be packaged as containers, installed and deployed
Requirements

Bachelor's degree or higher in computer science or related, with 5+ years of work experience
Ability to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experiments
Ability to manage the infrastructure and data pipelines needed to bring ML solution to production
End-to-end understanding of applications being created and maintain scalable machine learning solutions in production
Ability to abstract complexity of production for machine learning using containers
Ability to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvements
Experience with Big Data Projects using multiple types of structured and unstructured data
Ability to work with a global team, playing a key role in communicating problem context to the remote teams
Excellent communication and teamwork skills


Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental design
Test-driven development (prefer py. test/nose), experience with Cloud environments
Proficiency in statistical tools, relational databases, and expertise in programming languages like python/SQL is desired.


Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc.
Knowledge of MLflow, Airflow, Kubernetes
Knowledge on any of the cloud native MLaaS offerings like AWS SageMaker, AzureML or Google AI platform
Benefits
Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.",Midtown Toronto,Glassdoor
2,Applied Scientist - Inference and Metrics (Remote),"Yelp
","Are you intrigued by data? Yelp has hundreds of millions of pieces of user-contributed content, millions of users and business listings, and hundreds of thousands of advertising customers – and all of these numbers are constantly growing. Making sense of this data, deducing relationships between variables, and figuring out different interactions is hard work, but these insights are hugely impactful to Yelp’s business. Applied scientists uncover these insights through exploratory research and analysis, and carry the ideas all the way through to production-grade statistical or predictive models. They work in areas including pricing models and auction bidding strategies, learning to rank applications, personalized recommender systems, trust and safety / spam detection, and causal inference.

Yelp engineering culture is driven by our values: we’re a cooperative team that encourages individual authenticity and “unboring” solutions to problems. We enable all new team members to deploy working code their first week, and your impact will only grow from there with the support of your manager, mentor, and team. At the end of the day, we’re all about helping our users, growing as engineers and scientists, and having fun in a collaborative environment.",Midtown Toronto,Glassdoor
3,Specialist Data Science,"Canadian National Railway
","At CN, we work together to move our company—and North America—forward. Be part of our Information & Technology (I&T) team, a critical piece of the engine that keeps us in motion. From enterprise architecture to operational technology, our teams use the agile methodology to automate and digitize our railroad ensuring our operations run optimally and safely and our employees can focus on value-added tasks. You will be able to develop your skills and career in our close-knit, safety-focused culture working together as ONE TEAM. The careers we offer are meaningful because the work we do matters. Join us!
Job Summary
You will be part of a team that spans across all business domains. You will provide advanced analytical insights using data analysis and machine learning techniques. You will collaborate with teams across the company, exploring various data sources to help identify new opportunities while driving the adoption of AI. As an expert data scientist, you will combine your knowledge of machine learning and software development skills to automate model development, training, and deployment. You will leverage your experience in building reusable algorithms, functions, and libraries to use in model development for predictive and prescriptive analytics.",Edmonton,Glassdoor
4,AI Engineer,Cerebri AI,"Cerebri AI CVX platform uses the best Artificial Intelligence ( AI ), Operation Research ( OR ), and software to provide what is required in our digital age: value a customer's commitment to a brand and related products. It then uses these insights to then drive the selling of product and services. We use AI to answer the fundamental questions of the digital age: Who talks to the customer? Who understands the customer? How do we do this at scale when we have millions of customers?
Cerebri AI CVX platform uses a 10-stage AI software pipeline manages & processes data intake thru to producing insights and actions & presenting them via our APIs, in our customers' systems, or our UX. Our AI pipeline's first five stages manage data intake, a crucial step in producing great insights. One customer journey ( CJ ) per customer means all models targeting CX and revenue KPIs and related next best actions ( NBAs ) use the same journeys.
We work with companies selling to over 200 million consumers and have 24 patents filed on the Cerebri AI platform. We now have 40 employees in three offices in Austin, Toronto, and Washington DC. Over 80% of the staff are in technical roles in data science and software engineering.
How do we do this? We hire the best data scientists, mathematicians, and software developers and work as a cross-disciplinary team/gang/clan. We work hard, laugh hard, and impress our peers and clients. Because we can. And because we want to. To learn more, visit cerebriai.com. In the meantime, if you think you have what it takes, give us a spin and upload resume.
""Cerebri AI was recognized as 2019 Cool Vendor for Customer Journey Analytics by Gartner""
Responsibilities
Architect, build, test, deploy distributed, scalable, and resilient Spark/Scala/Kafka Big Data processing, and Machine Learning model pipelines for batch, micro-batch, and streaming workloads sets into Cerebri AI’s proprietary data stores for use in machine learning modeling
Develop and maintain data ontologies for key market segments
Collaborate with data scientists to develop automated orchestration of model pipelines to solve Cerebri AI business use case objectives
Collaborate with clients to develop pipeline infrastructure, and to ask appropriate questions to gain deep understanding of client data
Deploy fully containerized Docker/Kubernetes Data processing, and Machine Learning model pipelines into Azure, AWS, GCP cloud environments and on-premise systems as necessary
Document Detailed Designs (including source to target mappings) and Code for Data Quality frameworks that can measure and maintain Data Completeness, Data Integrity and Data Validity between interfacing systems
Ensure all solutions comply with the highest levels of security, privacy, and data governance requirements as outlined by Cerebri and Client legal and information security guidelines, law enforcement, and privacy legislation, including data anonymization, encryption, and security in transit and at rest, etc.
Train and mentor junior team members
Acts as a Subject Matter Expert and a Thought Leader, continuously following industry trends, the latest competitive developments, and delivering papers and presentations at major industry conferences and events.

Qualifications
A degree in Computer Science, Engineering, AI, Machine Learning, BI, MIS, or an equivalent technology field
Minimum 2 years of Production programming experience in Scala, Spark, PySpark, Big Data, Python
Minimum 2 years of Production experience with Hadoop Big Data platform
Able to program and understand data science and data engineering ideas in Python and translate into modular, functional components in Scala
Streaming and micro-batch application development experience would be an asset, including Kafka, Storm, NiFi, Spark Streaming, Confluent or equivalent
Proficiency with Linux/Unix operating systems, utilities and tools
Experience working directly with relational database structures and flat files
Ability to write efficient database queries, functions and views to include complex joins and the identification and development of custom indices
Knowledge of professional software engineering practices and best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, continuous integration and development, and operations.
Experience deploying containerized Docker/Kubernetes applications
Experience with Microsoft Azure or similar cloud computing solutions
Big Data application architecture experience and in-depth understanding of the Big Data ecosystem, applications, services, and design patterns
Production systems integration experience
Good verbal and written communication skills, with both technical and non-technical stakeholders

Nice to Haves
Experience in business intelligence visualization tools such as Grafana, Superset, Redash or Tableau.
Master’s degree or higher in a relevant quantitative subject
Experience with the Atlassian suite (JIRA, Confluence, BitBucket).
Any other related experience with Big Data, artificial intelligence, natural language processing, machine learning and/or deep learning, predictive analytics
Familiar with automated machine learning (AutoML) concepts would be an asset
Experience with Breeze would be an asset",Toronto,Indeed
5,Senior Software Engineer - Senior Azure Engineer/Data Analys...,Capgemini,"Senior Software Engineer - Senior Azure Engineer/Data Analyst
054120

Must have:
1.Experience using ML Flow or similar tool to deploy operational models in Azure Cloud.
2.Experience mentoring and developing best practices for model management, health monitoring and model tuning.
3.Experience in using Python and Pyspark for predictive supervised model building.
Good to have:
Experience in creating/implementing machine learning models using Python/R/SAS and integrating them into Batch Inference pipelines.
Expertise in working with machine learning related python packages - Scikit learn, XGBoost, matplot lib and proficient is data pre-processing using pandas.
Expertise on a variety of machine learning techniques (clustering, segmentation etc.) and their real-world advantages/drawbacks
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Ability to present model explain ability and model results to business stakeholders.
Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and Deployment.

Software Engineers perform requirements analysis. They then design, develop or maintain the physical application (components) or the application environment, based on the Software Architecture (models and principles). Activities include coding, integrating, implementing, installing or changing frameworks and standard components, or technical and functional application management. A Software Engineer also develops languages, methods, frameworks and tools, and/or undertakes activities in support of server-based databases in development, test and production environments.

Required Skills and Experience:

You have mastered several Software Engineering areas, applications or database environments. You act as a Software Engineering stream leader with technical delivery ownership within a (limited) number of technology areas. You contribute to bids or client proposals based on your technological expertise. You also act as a team leader with delivery ownership, and guide individuals and groups towards desired outcomes. You actively participate in at least one community and contribute to community discussions.

Qualification: 7-10 years (3 years min relevant experience in the role) experience, Bachelor’s Degree.
Certification: Should have SE Level 1 and seeking level 2.
Should be proficient in Business Analysis, Business Knowledge, Software Engineering, Testing, Data Management, Architecture Knowledge and Technical Solution Design.

Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.

This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.

Click the following link for more information on your rights as an Applicant - http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law

About Capgemini
Capgemini is a global leader in consulting, digital transformation, technology and engineering services. The Group is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year+ heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today, it is a multicultural company of 270,000 team members in almost 50 countries. With Altran, the Group reported 2019 combined revenues of €17billion.

Visit us at www.capgemini.com. People matter, results count.
Job Developer
Schedule Full-time
Primary Location CA-ON-Toronto
Organization I&D",Toronto,Indeed
6,"Data Analyst, Customer Support - Remote","Tucows
","Tucows (NASDAQ: TCX, TSX: TC) is on a mission to make the Internet better by providing people everywhere with online access to be empowered to make individual contributions. As a company, we embrace a people-first philosophy that is rooted in respect, trust, and understanding to encourage freedom, inspire innovation, and promote inclusivity; creating an environment for everyone to thrive!

Tucows has been working on the Internet since the days when people unironically called it the Information Superhighway. We are a 25-year-old global start-up embracing agility and creativity in order to continually seize opportunity for growth. We have evolved from a start-up domain service provider to becoming the second-largest domain wholesaler in the world while expanding our business with Ting, an Internet services company partnering with towns and cities to change what customers expect from their Internet Service Provider. We are building fiber networks across the US and have already launched Gigabit speed service in Maryland, Virginia, North Carolina, Colorado, Idaho and California, laying the groundwork for rapid scale.

Our growth has been incredible, smart, and measured, built on a solid technical and financial foundation. We have doubled our workforce in the last 4 years and continue in rapid expansion mode, providing services to millions of customers around the world.
About the opportunity

This is a completely remote opportunity within Canada and USA.

Tucows is looking to add a Data Analyst, Customer Support to our Analytics, Insights and Reporting team, reporting to the Head of Analytics & Insights. Together, we're responsible for all of the reporting, analytics, data flows, visualization, and related business intelligence operations within our quickly growing company. We've got a lot of data, and we're looking for someone to help us get the most out of it.

You will work with customer support to understand their needs and priorities, as well as to collaborate and ensure that their reporting requirements are captured in the development process. You'll then work with Data Engineers to build data pipelines, acquiring data from source systems and moving it through our data hierarchy, from messy and raw to clean and aggregated. Lastly, you'll explore the data with visualization tools and statistical techniques to help improve the experience of our customers.


Deliver reporting and analytics solutions to the customer support team, mainly in Looker
Understand customer support needs and technical requirements to meet those needs
Incorporate data from the various customer support systems/tools, Zendesk, Talkdesk, Teleopti, Zopim, Delighted
Help the customer support team make data-driven decisions


Top-notch communication (verbal and written) and interpersonal skills
Proficiency in the presentation and visualization of numbers and statistical data
3+ years experience handling, manipulating and analyzing data and creating analytical reports, especially in a customer support context
Strong expertise with an SQL language, as well with as database structures and data lake architectures


Experience with Looker
Experience with Snowflake


Post-secondary education in a technical field, or B.S./M.S.

We believe diversity drives innovation. We are committed to inclusion across race, religion, colour, national origin, gender, sexual orientation, age, marital status, veteran status or disability status. We celebrate multiple approaches and diverse points of view.

We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",Ontario,Glassdoor
7,Data & AI Strategy Manager,Accenture,"We are:
Applied Intelligence, the people who love using data to tell a story. We’re also the world’s largest team of data scientists, data engineers, and experts in machine learning and AI. A great day for us? Solving big problems using the latest tech, serious brain power, and deep knowledge of just about every industry. We believe a mix of data, analytics, automation, and responsible AI can do almost anything—spark digital metamorphoses, widen the range of what humans can do, and breathe life into smart products and services. Want to join our crew of sharp analytical minds? Visit us here to find out more about Accenture Applied Intelligence
You are:
A consultant that other consultants admire. You’ve spent years helping clients use analytics to make their companies more effective and more efficient. Clients listen to you and rely on you to guide them through crucial digital transformations.
The work:
Work with clients to understand how analytics can help their businesses retail, financial, health or government
Be a thought leader for data and analytics that fit your industry specialization
Help generate insights and recommendations for clients
Guide the early stages of data and analytical transformations
Help senior clients understand and use data-driven strategies in new ways and markets
Get data, analytics and AI projects across the line for clients
Manage and motivate teams

Here’s what you need:
A Bachelor's degree in a quantitative field like statistics, econometrics, mathematics, engineering
At least 5 years working as a consultant helping clients, building strategies, designing and using data and analytics, especially in a professional services environment
At least 5 years running business transformation and data management projects
At least 3+ years' experience with major cloud technologies – conceptual (helping enable end-to- end data journeys in the cloud)
Bonus points if:
Exceptional presentation skills – ability to convey technology and business value propositions (how to take data and insights turning them into action and business value for clients)
Experience in foundational data capabilities such as data management, data governance, visualization and data science
Ability to understand and apply statistical methods and outputs to create client value in a business context
Experience with evolving approaches and technologies such as Big Data, Artificial Intelligence, Machine Learning, Cognitive Systems, and Robotics
Handling different projects at the same time comes easily to you",Toronto,Indeed
8,Lead Data Scientist - Core Local Business (Remote),"Yelp
","At Yelp, it’s our mission to connect people with great local businesses. Yelp’s unique dataset contains billions of interactions between users and businesses around the globe, from a review of a coffee shop to requesting a repair quote with a photo of a leaky faucet. Data Scientists at Yelp work to make sense of these interactions to deliver impactful analyses and products to our users, business partners and the general public.

The Data Science & Analytics team performs analyses, builds models, and designs experiments that directly impact Yelp’s products and users. Our teams sit in Yelp’s central product management organization and work directly with cross-functional leaders to understand quantitatively how our products are performing and where the largest opportunities are. We are adept at tasks like modeling user preferences, inference from user and marketplace experiments, and generating insights about the health of local economies. With diverse backgrounds and expertise, we strive for learning and growth in a collaborative environment.

We are looking for a Lead Data Scientist to join the Core Local Business team. The team is centrally located within our product organization, and focused on analytics, research, and inference support for product and engineering stakeholders. The Core Local Business team partners with product and engineering teams building the Yelp for Business Owners user experience, from claiming a free business listing, to paid product acquisition, and long-term engagement and retention. Lead Data Scientists at Yelp are technical and cultural leaders within their teams, and collectively influence the development of shared tools, infrastructure, and processes across the organization.",Midtown Toronto,Glassdoor
9,Data Analyst / Software Engineer - Automotive,The Bartech Group,"Job #: 207151

Currently we are seeking individuals for the following position, please take note that this position is time sensitive and we advise you to apply immediately and express your skills and abilities that pertains to the job description.
If you are an experienced Data Analyst / Software Engineer – Automotive looking for a position with a leading company, Bartech can help!
Data Analyst / Software Engineer – Automotive in Markham, Ontario
Long term contract position with on-going needs.
Business Overview:",Markham,Glassdoor
