Job Title,Company Name,Job Description,Location,Job Board,skills
Data Scientist,Metricsflow Inc,At Metricsflow  we work to shape the future of data attribution for a new kind of relationship between customers and companies. Advocating for privacy-first practices and a smarter  deeper  and non-invasive customer learning  Metricsflow innovates using machine learning and AI technology to equip businesses with the right tools. If you are passionate about the internet and how data is treated  you’ve found the right place.   Metricsflow is seeking an exceptional individual to serve as a Data Scientist. The successful candidate will work closely with the product and engineering team to translate technological and customer requirements into valuable features that ensure a great user experience.   Responsibilities:  Work with structured and unstructured raw data to design and develop innovative predictive models  metrics  reports  and dashboards to uncover actionable insights Deliver results to drive the projects end to end  not limited to model training  but also including building data pipelines and integrating with engineering systems Research industry best practices for features to be implemented in the Metricsflow reporting application  with a focus on Data Science features including data preparation  machine learning  user identification Implement scalable  efficient processes for large scale data analyses  model development and deployment.    Requirements:  3+ years in data scripting languages e.g Python Hands-on experience in the application of predictive modeling  artificial neural networks  time-series analysis  clustering and classification techniques  and other advanced analytical techniques Experience using CI/CD tools Good design and problem-solving skills and an ability to innovate and solve challenging technical problems Knowledge of the software development lifecycle and Agile methodologies Excellent organization and time management skills,St. John's,Glassdoor,['application']
Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,Acerta’s machine learning platforms leverage automotive assembly and vehicle data to detect the earliest indicators of future product failures. We help automakers optimize quality  safety  and reliability throughout the entire product life cycle  from the assembly line to the finish line.  As an integral part of the data science team at Acerta  you will productize  deploy  maintain  and monitor machine learning models running behind Acerta’s LinePulse and AutoPulse products. Our LinePulse SaaS platform enables automakers to identify anomalies in production data for enhanced testing  accelerated root cause analysis  and improved manufacturing output. Acerta’s AutoPulse SaaS platform enables predictive maintenance of connected and autonomous vehicles based on production  maintenance  and on-road data.  Requirements: Minimum of 3 - 5 years of data science experience using python Strong ML and statistics background 2+ years of software development experience Experience with keras  tensorflow  and sklearn. Experience with time-series and operations data is an asset Previous Kaggle experience or similar is a plus Ability to work in a fast-paced agile environment Experience using Git in a team environment Flexibility to adjust to changing priorities  requirements  and schedules Familiarity with working on remote linux instances Available in office full-time (KW)  Responsibilities: Own significant product requirements and drive them from development to deployment Tune and monitor machine learning models deployed for customers. Research and apply state of the art in model interpretation and explainability Package development in Acerta’s Codebase  We thank all applicants for their interest  only those candidates selected for an interview will be contacted. Acerta is committed to fostering a diverse and inclusive workplace. We strongly encourage applicants from all backgrounds and walks of life.,Kitchener,Indeed,"['keras', 'operations data']"
Data Engineer,"GoodLife Fitness
",Position Description     DATA ENGINEER **This is a remote position located anywhere in Canada**   Who is a Data Engineer?  The Data Engineer will play an important role in driving forward GoodLife’s Technology & Innovation product roadmap through helping to build data services that support ‘WOW’ experiences for our Members and Associates. In our mission to be the BEST combined Live and Digital fitness experience  data plays a significant role in empowering a more personalized and informed suite of digital services. Joining the Data Operations Team  you will help design  implement and maintain batch and real-time scalable data pipelines with complex data transformations. In addition  you will support our software developers  database architects and data analysts on data initiatives to ensure an optimal data delivery architecture. You will foster a positive working culture of continuous improvement  modernized delivery and rapid go-to-market product innovation. We work in a highly dynamic  fast changing  and fluid environment  and are seeking an energetic addition to the team   What will you be doing?  Design  build  maintain and improve data platform infrastructure for ingesting  storing  and transforming data to enable data-driven products and services Design  implement  and maintain batch and real-time scalable data pipelines with complex data transformations Write and optimize complex queries in order to make data easily and efficiently accessible to the consumers Apply industry best practices when designing and building data pipelines to ensure data integrity  quality and security Design and build prototyping solutions and conduct tests in order to support rapid product development and also to explore new design alternatives for our data platform Assist with day-to-day support for data-related technical issues and data infrastructure needs Maintain data governance artifacts to enable self-serve information access  including data catalog  data dictionary and data lineage documentation Monitor the overall performance and stability of the data pipelines infrastructure Work with cross-functional teams in a dynamic environment to support the development of data-driven products  Do you have what it takes?  Bachelor’s degree in Computer Science  Software Engineering or equivalent 5+ years’ experience in ETL/data modeling  building scalable and reliable data pipelines  architecting data stores  supporting complex ETL processes including SLA  performance measurements  and monitoring Hands-on experience with leading Cloud platforms  including Azure Cloud Data Solutions and AWS Experience with Informatica IICS and Snowflake considered a strong asset Experience with message queues  batch and stream processing Excellent SQL skills and experience in a DevOps environment Experience with Agile development methodologies Detail oriented: high standard of data quality and integrity Familiarity with NoSQL databases like MongoDB is nice to have Adaptable to a fast-paced environment and able to pivot quickly to align with changing priorities Strong people skills  team player  excellent oral and written communication skills Strong analytical and problem-solving skills  Able to multi-task Committed to contributing to a culture that celebrates diversity  equity and inclusion and embraces social and environmental responsibility  What's in it for you?  Ongoing training and development to ensure a long and successful career path Career advancement opportunities Competitive Total Rewards Package FREE Fitness membership Fun and energetic atmosphere to come to every day    At GoodLife Fitness  we are committed to fostering an inclusive  accessible environment  where all employees and members feel valued  respected and supported. We are dedicated to building a workforce that reflects the diversity of our customers and communities in which we live and serve. We are committed to meeting the accessibility needs of persons with disabilities in a manner that respects their dignity and that is equitable. If you require an accommodation for the recruitment/interview process (including alternate formats of materials  accessible meeting rooms or other accommodation)  please let us know and we will work with you to meet your needs.,Midtown Toronto,Glassdoor,"['data', 'Cloud platforms', 'Azure Cloud Data Solutions', 'AWS Experience', 'Informatica IICS', 'Snowflake', 'message queues', 'DevOps environment Experience', 'Agile development methodologies']"
Safety Aggregate Reporting & Analytics Coordinator,IQVIA,Job Overview Manage the administrative support for deliverables across the Safety Aggregate Reporting and Analytics (SARA) services  as appropriate. SARA deliverables include safety aggregate reports  literature surveillance  signal detection and benefit risk management services. Essential Functions Schedule and attend planning meetings and maintain the minutes of the meeting. Initiate and manage the workflow of controlled documents. Under direction of Functional Project Leads  set-up & maintain SARA services trackers for new projects  and enter  update and maintain SARA/ BRM / LR deliverables schedules for project in the designated trackers. Assist with metrics management  reconciliation  audit and training tasks  monitor SARA specific mailboxes and other coordinator activities as assigned. Prepare final formatting/compilation of document(s) including necessary attachments/appendices. May assist with creating project tracking spreadsheets and associated tracking entry specifications Assisting in database validation through performance of user testing Performing ad hoc database searches Escalating any system/equipment problem. Oversee and co-ordinate administrative support by coordinating team/department/customer/project oversight group meetings & disseminating/saving meeting minutes  coordinating stationery orders  dispatching documents via courier services  reserving meeting rooms and IT equipment and providing administrative support where required. Update  maintain and organize applicable electronic file systems and SARA Sharepoint sites. Contribute to achievement of departmental goals e.g. utilization realization and productivity metrics. Read and acknowledge all necessary IQVIA standard operating procedures (SOPs) and customer SOPs as required. Ensure all required training is executed in a timely fashion and documented ensuring Good Documentation Practices (GDP). Support and/or contribute to technology / innovation activities. Qualifications High School Diploma or equivalent Req 1 to 2 years’ relevant work experience. Equivalent combination of education  training and experience. Good understanding of Standard Operating Procedures (SOPs) and work instructions applicable to the role. Good working knowledge of Microsoft Office and web-based applications (e.g.  Word  Excel  Powerpoint). Good knowledge of medical terminology. Strong organizational skills and time management skills. Strong verbal/written communication skills. Self-motivated and flexible. Excellent attention to detail and accuracy. Ability to follow instructions/guidelines  utilize initiative and work independently. Proven ability to multi-task  manage competing priorities and deadlines. Willingness and aptitude to learn new skills across all Lifecycle Safety service lines. At IQVIA  we believe in pushing the boundaries of human science and data science to make the biggest impact possible – to help our customers create a healthier world. The advanced analytics  technology solutions and contract research services we provide to the life sciences industry are made possible by our 70 000+ employees around the world who apply their insight  curiosity and intellectual courage every step of the way. Learn more at jobs.iqvia.com.,Kirkland,Indeed,[]
Senior Data Engineer,"Samsung Electronics
",Position Summary  The SmartThings Big Data team in Vancouver is looking for a Senior Data Engineer who is passionate on big data technology and delivering data solutions. The Senior Data Engineer will work closely with our business strategy  cloud engineering  client engineering  UX design  consumer insights and marketing teams to make decisions on how we should invest in specific data-driven features and products.  You are a team player and know how to work well with others. You have a strong analytical mind and you like to see the whole picture. You have passion for solving complex problems and have a high degree of aptitude when it comes to learning new technologies. You love data and numbers and understand how important your role is in helping with business decisions.  If you want to work for one of the most recognized brands in the world and one of the Top 100 Employers in Canada  then please keep reading   What We Offer:  Competitive Salary Employer Paid Health Coverage (from day one) Employee Purchase Program – discounts  Social and Wellness Events Employee Referral Program –we want great talent like you   Role and Responsibilities  Be responsible for data engineering activities including data ingestion  data modelling  data processing data governance Analyze different data in the ecosystem and create meaningful topics analysis reports. Work with team to improve the data pipeline to process large scale data efficiently Be a data steward to educate and promote the data importance and data-driven culture. Collaborate with other groups worldwide to assist in product design  business strategy and user experience research  etc. Be constantly challenged to learn and grow with new technologies  identify and solve complex problems via data  Skills and Qualifications  5+ years of experience in big data engineering Have deep understanding on data engineering principles Hands-on experience of large scale and high availability systems Strong knowledge of SQL (MySQL  PostgreSQL) and preferably experience with NoSQL databases Proficient in at least one programming language and scripting languages (bash  Python  etc.) Experience with various AWS services (EC2  S3  AWS CLI  Lambda  Kinesis Firehose  Redshift etc.) Hadoop ecosystem knowledge (Hadoop  Spark  Kafka  Hive  Pig  Sqoop  etc.) BS or MS in Computer Science or equivalent experience  Bonus Skills  Experience with Ariflow  EKS  EMR  Redshift  OLAP Experience with Git and CircleCI DevOps skills: create build & install scripts  terraform  UNIX-based systems management  release management  production monitoring  etc. Agile/Scrum software development methodologies  Please note that this position is a 12 month contract.    Samsung is an equal employment opportunity employer. We thank you for your interest in working for Samsung  only candidates selected for an interview will be contacted. #indhigh #LI-DJ1,Vancouver,Glassdoor,"['big data engineering', 'large scale', 'high availability systems', 'Proficient', 'programming language', 'scripting languages', 'various AWS services', 'Ariflow', 'CircleCI DevOps skills']"
Data Scientist - Canada,Shift Technology,At Shift Technology  we're transforming insurance with AI. We help insurers fully automate more claims  deliver a great customer experience while protecting against risk and accurately identifying suspected fraud  making internal teams more effective and improving financial performance.  Since our launch in 2014 in Paris  we've raised over $320M with Tier 1 investors  opened offices in Boston  Tokyo  Singapore  London  Madrid  Mexico  Hong-Kong  and Sao Paulo  and currently work with more than 80 of the world's leading insurers. If you are excited about joining a fast-growing insurtech innovator with a passion for excellence and global culture  Shift is the place for you.  Shift Technology offers a unique opportunity to brilliant candidates to accelerate their careers in data science  Data scientists work on a broad range of subjects  acquiring a lot of technical and professional experience in data science  data engineering  coding  business understanding and client interactions  skills invaluable in any career.  Our company is small enough that each person's achievements have an impact on overall performance  yet big enough to be a world leader in our domain.  We are a fast growing company  the best contributors will grow to managerial or product tech lead positions much more rapidly than in bigger companies  YOUR ROLE  The data science team is in charge of technically delivering the Shift products to clients  the key role in the success of our projects with clients. It is a hands-on job  expect to be doing everything you can imagine from the technical side in an AI company:  Implementation of the data engineering   usually from client extracts to the insertion of the data in our data stores (SQL  ElasticSearch)  Developing  testing  tuning models and putting them in production for tasks such as fraud detection and automation detection in complex environments.  Automate key business tasks by implementing them in our production process framework in C#  Conduct meetings with clients and interact with external stakeholders  whether it is direct user feedback  presenting business cases or defining the roadmap of evolutions for that client  You will actively participate in the definition and development of our suite of products on fraud detection  anti-money laundering and claim automation  working on various data types such as structured data  free text  documents and images.  WHAT WE ARE LOOKING FOR  As a result of the range of the role  we are looking for people with diverse skills and proficiencies to help make our customers successful.We are open to people not having exactly all of the required skills  but in each one of those they must be willing to build expertise.  As a result  we expect data scientists to be: Code-savvy   either by having a degree in computer science and/or having developed some apps with actual users  or by willing to spend a lot of time practicing. Writing scripts for models and notebooks is not enough at Shift  we thrive on people who can write maintainable  production-quality code that will run everyday without breaking.  AI-savvy   either by having a degree in machine learning and/or statistics or be looking to work on those subjects. Having a clear understanding of statistics and machine learning problems  tasks and common resolutions is important to communicate internally and explain to the client how the product is working.  Client facing . You will need to be comfortable  clear and professional when talking to clients during meetings and by email. Expect to talk with a client every other day and grow your communicational and presentational skills   Business smart . We don't expect candidates to know the insurance sector  but we want people who can learn and master the business aspects of our products  English speakers . We are an international company with offices in many countries and 40+ nationalities  the Shift working language is English.  EEO Statement  At Shift we thrive to be a diverse and inclusive workforce. We hire and trust people without regard to race  color  religion  marital status  age  national or ethnic origin  physical or mental disability  medical condition  pregnancy  genetic information  gender identity or expression  sexual orientation  or other non-merit criteria. Shift is proud to be an Equal Opportunity Employer.,Midtown Toronto,Glassdoor,['data science']
"Data Scientist Technical Lead (Montreal), Intact Lab",Intact,Who needs insurance? Everybody. That keeps us busy. Very busy. At the Intact Lab  we use machine learning  data science  software engineering  AI  agility  UX and design thinking to transform the customer experience for millions of Canadians. Simplifying insurance takes creativity  empathy and hard work. We explore  take risks  make mistakes  and learn all day  every day. Here  innovation is everyone's job. Ready to make your mark?    About the role   Are you a machine learning expert who believes we are only in the infancy of artificial intelligence? Are you passionate about advanced analytics and Big Data? Do you stay current with the latest trends in analytics and jump at the chance to experiment with new tools? We have the perfect opportunity for you  Hiring Manager: Amine Mahmoudi Workplace: Montreal (2020  Blvd. Robert-Bourassa) Your contribution: Be the technical leader that help defining data science problems and developing innovative solutions using machine learning and advanced statistics Help achieve long-term business goals by identifying and implementing solutions to subtle or ambiguous problems with the highest scientific rigour Influence the lab technical direction by making actionable recommendations based on scientific and business findings to management Coaching and mentoring of senior data scientists on technical matters and act as a technical reference for management Review machine learning solutions and identify their corresponding scientific debt  and ultimately assess readiness for production deployment Help the teams maintain a high scientific level by monitoring the application of data science standards of practice and participate in their evolution Keep pace with new approaches and trends and use them in your own solutions Work with other departments to promote the adoption of analytical principles within the organization    Qualifications   Your assets: Your Master’s or PhD’s degree in a relevant discipline (mathematics  science  engineering  operational research  economics  statistics  AI  computer science or a related field) Your 8 years of experience in the field of advanced statistics  data mining and text mining Strong communication  time management  great teamworking and organization skills Expert-level understanding of the underlying theory of machine learning Expert-level understanding in either computer image analysis  natural language processing or artificial intelligence A multi-platform production experience with commercial and open-source data mining frameworks like Python  R  GitHub  etc. Your ability to focus on vaguely defined issues requiring the application of a creative approach Here are a few reasons why others have joined our team: An award-winning  inspiring workplace that supports its people and recognizes great work Stimulating  challenging projects and development opportunities to help you grow your skills and career Flexibility in how and where you work A comprehensive financial rewards program that recognizes your success An extensive  flexible benefits package An industry leading Employee Share Purchase Plan where we match 50% of net shares purchased A casual ‘dress for your day’ culture that encourages you to be yourself A $350 annual wellness account that promotes an active lifestyle    Closing Statement   We are an Equal Opportunity Employer At Intact  our value of Respect is founded on seeing diversity as a strength  being inclusive and fostering collaboration. We value diversity and strive to create an inclusive  accessible workplace where all individuals feel valued  respected and heard. If we can provide a specific adjustment to make the recruitment process more accessible for you  please advise the Talent Acquisition partner who reaches out about the job opportunity and they will work with you to meet your needs. Background Checks As an employer and publicly traded financial services company  the best interests of our customers  employees and shareholders are important to us. We want Intact to be a great place to work  This means that internal and external candidates will be asked to consent to background checks so we can learn more about you. Please note that for positions with access to financial data or funds  your credit must be in good standing. Internal Candidates For internal candidates  you can apply for a posted position if you have been in your current position for at least 12 months and are performing at a satisfactory level. Please note we may have identified other internal candidates through our Employee Development Program  and that the selection process may also be opened to external applicants. Eligibility to Work in Canada It’s important that you are legally eligible to work in Canada at the time an offer of employment is made. You may be requested to provide proof of eligibility at that time.    Referral Bonus   This role is eligible for employee referral bonus. #myReferrals3000    LinkedIn Sponsored   #LI-QuebecIT,Montréal,Indeed,"['field', 'source data mining frameworks']"
Sr. Data Product Manager - RBC Ventures ( Ampli ),"RBC
",RBC Ventures is a new kind of business – one that marries the strength of one of the world’s most trusted and successful financial institutions with a mission to reimagine the role we play in people’s lives – to move RBC ‘beyond banking’. We’re building a world-class organization focused on designing exceptional experiences  exploring new business models and creating exponential value. In 2020  we were named by Fast Company as one of the 100 Best Workplaces for Innovators and we’re looking for team members with the curiosity to explore  the capabilities to build and capacity to help us deliver our mission.   What is the opportunity?  Ampli  an RBC Venture  is a free cash back app focused on helping Canadians get rewarded for their everyday purchases. https://www.linkedin.com/company/myampli/  We are hiring a Sr. Data Product Manager who will be responsible for the roadmap of our data platform. The ideal candidate is logical  analytical  and curious. They understand the technical aspects of data engineering and analysis but are focused on what the data is saying and how we can use it to provide a more personalized and targeted experience for our customers.  This person will work closely with the Product Managers in the other areas of Ampli  the data engineers and the data scientist. Machine learning will be a core part of this process and the data PM will work closely with the data scientists to determine the questions we need answered. This person will build strategies and implement solutions that drive data-oriented decisions across the organization.   What you’ll do:  Value creation  evolution & stewardship: Seek out ways to derive and yield new value from our data  especially via ML  NLP  etc and working with the other product managers on how to use the data to improve the UX in their areas of the product. Product Roadmap: Develop ML product/platform roadmap and requirements working with cross functional teams to execute by planning and managing expectations with stakeholders across the company. Deliver key ML features and capabilities from concept-to-launch. Coordinate and Communicate: Work with cross functional and vertical leads to absorb  prioritize and lead everyday challenges. Operational Efficiencies: Analyze data and developer feedback to understand needs  reduce time to onboard and build on the platform  and improve overall stakeholder experience. Prioritization: Make hard trade-offs between competing priorities as well as architectural improvements and operational excellence. Measure Success: Define a set of success metrics to measure customer satisfaction and business impact and utilize them in decision-making.   What we’re looking for:  Degree in Computer Science or equivalent with 5+ years of data analysis and product management experience. Hands on data extraction and analytical experience with SQL  Google Firebase  Metabase and Tableau. Self-starter  thinker in action  a planner and a doer  can work well with ambiguity  always a team player. Possess the entrepreneurial drive to develop and grow disruptive products and thrive in an ever-changing and agile environment. Proven ability to think big picture strategy AND roll-up-your sleeves to deliver. Demonstrated experience in building or delivering data store/warehouse solutions using ML  NLP  etc. Excellent communication skills and ability to explain learnings to both technical and non-technical partners.   Nice to have:  Experience with Python. SaaS or cloud-based app product experience. Experience and success in both small startup environments and large matrix organizations. Experience working with large financial institutions. Experience exploring new capabilities and technologies to drive innovation.   RBCVentures   Join our Talent Community Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs  career tips and Recruitment events that matter to you.  Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com.  JOB SUMMARY City: Toronto Address: 20 Bay Street Work Hours/Week: 37.5 Work Environment: Office Employment Type: Permanent Career Level: Experienced Hire/Professional Pay Type: Salary + Variable Bonus Required Travel (%): 0 Exempt/Non-Exempt: N/A People Manager: No Application Deadline: 07/16/2021 Platform: Technology and Operations Req ID: 377759 Ad Code(s): RBC Ventures,Midtown Toronto,Glassdoor,"['customers', 'Python', 'small startup environments', 'large matrix organizations']"
Data Analytics Consultant - Contractor,"TELUS
",Data Analytics Consultant - Contractor - Customer 360 Analytics  The TELUS Business Marketing Team is looking for a talented  driven  passionate individual with strong analytical and interpersonal skills. Our Team – TELUS Business Solutions Marketing BI - has a mandate to build solutions for our stakeholders using data from various sources  building algorithms that can predict customer loyalty  churn and stickiness. We love to turn data into stories - stories about money falling through the cracks  success stories about our products and services  but most importantly stories about our customers and how we can enhance their experience. We run like a start-up and we have embraced lean and agile methodologies. We celebrate our failures and see them as opportunities to learn. Our culture fosters collaborative learning and out-of-the-box thinking in a relaxed environment. Come help us to make something awesome   Candidates are able to communicate with business stakeholders  gather requirements  develop  design and implement reporting solutions in an agile-type environment. They must be able to shift effortlessly between business conversations about performance analytics and technical conversations around databases  SQL and Domo with their stakeholders and peers. A successful candidate has strong business analysis  problem solving and critical thinking skills.  Candidates must be comfortable working within a dynamic  cross-functional environment and be able to explain complex concepts  performance reporting methodologies  and analysis results to a diverse stakeholder community. You must be willing to roll up your sleeves and get close to the data.  Here's the impact you'll make and what we'll accomplish together:  You will be successful because you have an optimal mix of business and technical skills honed in a high performance driven business. You would be working with Data Scientists  Engineers and Analysts to help build trigger based B2B campaigns to target the right customer at the right time with the right product.  You have a passion for growing our business  the courage to innovate and embrace change in our business intelligence capabilities and embody the spirited teamwork necessary to support stakeholders across a wide variety of teams.  Here's how  You will:  Develop new analytical solutions to provide timely insights to the business Assemble multiple data sources across various databases to build foundational C360 data marts Build repeatable processes and automation to create standardized datasets  reports and analysis Implement business intelligence and rules  optimize data processes and perform data quality audits Proactively work with business stakeholders  manage relationships and lead marketing programs from a data standpoint Effectively communicate with leadership and stakeholders Lead Customer 360 programs  coach and mentor junior team members  You are the missing piece of the puzzle if:  You love digging into quantitative and qualitative data  you analyze it  pivot it and distill issues to their core to provide the best possible performance reports and channel insights You have expert knowledge and understanding of global best practices in business intelligence tools (e.g. Python  R  SAS DOMO  SQL  Tableau) You have advanced working SQL knowledge and experience working with relational databases  query authoring (SQL) as well as working familiarity with a variety of databases You are recognized for your curiosity and growth mindset You see the bigger picture of the problem you are trying to solve  and will proactively out new data points from varied sources (external and internal) to complement your analysis You have excellent attention to detail  a structured approach to analysis and the ability to develop logical arguments You have minimum 4-7 years of experience in a similar role and/or related education with demonstrated performance  Great-to-haves  Prior telecommunications expertise Python experience Hive  Spark  NiFi experience B2B marketing Experience with cloud (GCP AWS or Azure) Experience with the Salesforce tech  i.e.  marketing cloud  Pardot  Einstein Data Science / Modeling experience or working in a Data Science team  Contract would be until 31st Dec 2021 with a high possibility of extension.  Other Locations : Alberta  British Columbia  Quebec,Midtown Toronto,Glassdoor,"['Experience', 'Salesforce']"
Data Engineer,"Dawn InfoTek Inc.
",Dawn InfoTek Inc. is a professional IT consulting team that partners with major financial institutions  investment firms and government sectors. We have been dedicated in delivering cutting-edge consulting services and recruiting all levels of IT positions for our clients.  We are looking for a meticulous and enthusiastic Data Engineer to join our dynamic team to work at our bank client.  Type: Contract / Permanent Location: Toronto  Requirements  Must-have:  4-6 years of experience with data engineering skills 4-6 years of hands on experience with SQL  Shell Scripting and Python (TensorFlow  Pandas  Numpy  Keras) 4-6 years of hands on experience ingesting data using APIs 4-6 years of hands on experience with BI tools / Big data technologies like Hadoop  Spark  Scala  Nice-to-Have:  Knowledge of Dialogflow ES and CX APIs  BigQuery  Google Cloud Data Loss Prevention  DataFlow  For immediate consideration  please apply as soon as possible to this posting by submitting your Resume along with your Availability Date  Referrals are more than welcome  We thank all applicants for your interest and referral. However  only qualified candidates selected for an interview will be contacted. Must reside in Toronto area.  For further information on our company  please visit: www.dawninfotek.com  Contract length: 4 months  Job Types: Full-time  Contract  Salary: $65.00-$75.00 per hour  Benefits:  Work from home  Schedule:  Monday to Friday  Experience:  data engineering: 4 years (required) SQL  Shell Scripting and Python: 4 years (required) ingesting data using APIs: 4 years (required) BI tools / Big data technologies (Hadoop  Spark  Scala): 4 years (required) Dialogflow ES and CX APIs  BigQuery  DataFlow: 1 year (preferred)  Work remotely:  Temporarily due to COVID-19,Midtown Toronto,Glassdoor,"['data engineering skills', 'Shell Scripting', 'Python', 'Big data technologies']"
